# Health page and backups (0.4.0).
Health || Zustand || Santé || Estado || Stav
Every day || Jeden Tag || Chaque jour || Cada día || Každý deň
Before an update || Vor einem Update || Avant une mise à jour || Antes de una actualización || Pred aktualizáciou
Everything looks fine. || Alles in Ordnung. || Tout semble en ordre. || Todo parece estar bien. || Všetko vyzerá v poriadku.
running for {span} || läuft seit {span} || en marche depuis {span} || en funcionamiento desde hace {span} || beží {span}
Database || Datenbank || Base de données || Base de datos || Databáza
{size} of it is free space || davon {size} freier Platz || dont {size} d'espace libre || de los cuales {size} son espacio libre || z toho {size} je voľné miesto
Free disk || Freier Speicher || Disque libre || Disco libre || Voľný disk
of {size} || von {size} || sur {size} || de {size} || z {size}
Packets dropped || Verworfene Pakete || Paquets perdus || Paquetes perdidos || Zahodené pakety
{dropped} of {total} packets || {dropped} von {total} Paketen || {dropped} paquets sur {total} || {dropped} de {total} paquetes || {dropped} z {total} paketov
the capture is not running || die Erfassung läuft nicht || la capture ne fonctionne pas || la captura no está en marcha || zachytávanie nebeží
Last sweep || Letzter Sweep || Dernier balayage || Último barrido || Posledný sweep
a sweep is running now || ein Sweep läuft gerade || un balayage est en cours || hay un barrido en curso || práve beží sweep
one is due every {span} || alle {span} ist einer fällig || un balayage est prévu toutes les {span} || cada {span} corresponde uno || jeden sa robí každých {span}
Backups || Backups || Sauvegardes || Copias de seguridad || Zálohy
newest {ago} || neuestes {ago} || la plus récente {ago} || la más reciente {ago} || najnovšia {ago}
none yet || noch keine || aucune pour l'instant || ninguna todavía || zatiaľ žiadna
Delete the backup from {date}? It cannot be recovered. || Das Backup vom {date} löschen? Es lässt sich nicht wiederherstellen. || Supprimer la sauvegarde du {date} ? Elle ne pourra pas être récupérée. || ¿Eliminar la copia de seguridad del {date}? No se puede recuperar. || Zmazať zálohu z {date}? Nedá sa obnoviť.
Back up the database automatically || Datenbank automatisch sichern || Sauvegarder la base de données automatiquement || Copiar la base de datos automáticamente || Zálohovať databázu automaticky
Backing up… || Sicherung läuft … || Sauvegarde en cours… || Copiando… || Zálohujem…
no such backup || Backup nicht gefunden || sauvegarde introuvable || copia de seguridad no encontrada || taká záloha neexistuje
backups made before an update are managed by the updater and cannot be deleted here || Vor einem Update erstellte Backups verwaltet der Updater; sie lassen sich hier nicht löschen || les sauvegardes faites avant une mise à jour sont gérées par le programme de mise à jour et ne peuvent pas être supprimées ici || las copias hechas antes de una actualización las gestiona el actualizador y no se pueden eliminar aquí || zálohy spravené pred aktualizáciou spravuje aktualizátor a nedajú sa tu zmazať
The packet capture is not running, so no new devices or traffic are seen. Look at the service log. || Die Paketerfassung läuft nicht, daher werden keine neuen Geräte oder kein Datenverkehr erkannt. Prüfen Sie das Dienstprotokoll. || La capture de paquets ne fonctionne pas : aucun nouvel appareil ni trafic n'est vu. Consultez le journal du service. || La captura de paquetes no está en marcha, por lo que no se ven dispositivos ni tráfico nuevos. Revise el registro del servicio. || Zachytávanie paketov nebeží, takže sa nevidia nové zariadenia ani prevádzka. Pozrite si log služby.
The capture is losing packets ({percent}% of {total}). DENIS may be too slow for this traffic, or the mirror port carries more than one machine can process. || Die Erfassung verliert Pakete ({percent} % von {total}). DENIS ist für diesen Datenverkehr eventuell zu langsam, oder der Spiegelport führt mehr, als ein Rechner verarbeiten kann. || La capture perd des paquets ({percent} % sur {total}). DENIS est peut-être trop lent pour ce trafic, ou le port miroir transporte plus qu'une machine ne peut traiter. || La captura pierde paquetes ({percent} % de {total}). Puede que DENIS sea demasiado lento para este tráfico, o que el puerto espejo lleve más de lo que una máquina puede procesar. || Zachytávanie stráca pakety ({percent} % z {total}). DENIS môže byť pre túto prevádzku príliš pomalý, alebo zrkadlový port prenáša viac, než zvládne jeden stroj.
The last network sweep finished {age} ago, but one is due every {every}. Look at the service log. || Der letzte Netzwerk-Sweep endete vor {age}, fällig ist aber alle {every} einer. Prüfen Sie das Dienstprotokoll. || Le dernier balayage du réseau s'est terminé il y a {age}, alors qu'il en faut un toutes les {every}. Consultez le journal du service. || El último barrido de la red terminó hace {age}, pero debería haber uno cada {every}. Revise el registro del servicio. || Posledný sweep siete skončil pred {age}, a pritom sa má robiť každých {every}. Pozrite si log služby.
