# Detection rules and their settings (src/rules.rs).
New device || Neues Gerät || Nouvel appareil || Dispositivo nuevo || Nové zariadenie
A device appears on the network after the learning period. Scored higher when it is unidentified or has an unknown manufacturer, lower for private (randomised) MAC addresses. || Ein Gerät erscheint nach der Lernphase im Netzwerk. Höher bewertet, wenn es nicht identifiziert ist oder einen unbekannten Hersteller hat, niedriger bei privaten (zufälligen) MAC-Adressen. || Un appareil apparaît sur le réseau après la période d'apprentissage. Score plus élevé s'il n'est pas identifié ou si son fabricant est inconnu, plus bas pour les adresses MAC privées (aléatoires). || Un dispositivo aparece en la red después del periodo de aprendizaje. Puntúa más alto si no está identificado o tiene un fabricante desconocido, y más bajo con direcciones MAC privadas (aleatorias). || Zariadenie sa objaví v sieti po období učenia. Vyššie skóre, ak nie je rozpoznané alebo má neznámeho výrobcu, nižšie pri súkromných (náhodných) MAC adresách.
nothing extra || nichts zusätzlich || rien de plus || nada adicional || nič navyše
New destination || Neues Ziel || Nouvelle destination || Destino nuevo || Nový cieľ
A device contacts an outside address it has never used. Best for NAS, cameras, printers and servers; noisy for laptops and phones. || Ein Gerät kontaktiert eine externe Adresse, die es nie zuvor genutzt hat. Am besten für NAS, Kameras, Drucker und Server; bei Laptops und Smartphones viele Meldungen. || Un appareil contacte une adresse extérieure qu'il n'a jamais utilisée. Idéal pour NAS, caméras, imprimantes et serveurs ; bruyant pour les portables et téléphones. || Un dispositivo contacta una dirección externa que nunca había usado. Ideal para NAS, cámaras, impresoras y servidores; ruidoso con portátiles y teléfonos. || Zariadenie kontaktuje vonkajšiu adresu, ktorú nikdy nepoužilo. Najvhodnejšie pre NAS, kamery, tlačiarne a servery; pri notebookoch a telefónoch hlučné.
traffic analysis (--flows) || Verkehrsanalyse (--flows) || analyse du trafic (--flows) || análisis de tráfico (--flows) || analýza prevádzky (--flows)
New service port || Neuer Dienst-Port || Nouveau port de service || Puerto de servicio nuevo || Nový port služby
A device with an established set of ports starts using a new service port, especially remote-administration, file-sharing or database ports. || Ein Gerät mit einem etablierten Portsatz beginnt, einen neuen Dienst-Port zu nutzen, besonders Fernwartungs-, Dateifreigabe- oder Datenbank-Ports. || Un appareil avec un ensemble de ports établi commence à utiliser un nouveau port de service, notamment d'administration à distance, de partage de fichiers ou de base de données. || Un dispositivo con un conjunto de puertos establecido empieza a usar un puerto de servicio nuevo, sobre todo de administración remota, uso compartido de archivos o bases de datos. || Zariadenie s ustáleným súborom portov začne používať nový port služby, najmä pre vzdialenú správu, zdieľanie súborov alebo databázy.
Unusual outbound volume || Ungewöhnliches ausgehendes Volumen || Volume sortant inhabituel || Volumen saliente inusual || Nezvyčajný odchádzajúci objem
A device sends far more data outside than its own history suggests. An incident is not learned as the new normal. || Ein Gerät sendet weit mehr Daten nach außen, als sein eigener Verlauf erwarten lässt. Ein Vorfall wird nicht als neue Normalität gelernt. || Un appareil envoie beaucoup plus de données vers l'extérieur que son historique ne le laisse prévoir. Un incident n'est pas appris comme nouvelle normalité. || Un dispositivo envía muchos más datos al exterior de lo que sugiere su propio historial. Un incidente no se aprende como la nueva normalidad. || Zariadenie posiela von oveľa viac údajov, než naznačuje jeho história. Incident sa neučí ako nová norma.
Activity at an unusual hour || Aktivität zu ungewöhnlicher Uhrzeit || Activité à une heure inhabituelle || Actividad a una hora inusual || Aktivita v nezvyčajnú hodinu
A device is active in an hour of the day when it is almost never active, judged in local time after about a week of history. || Ein Gerät ist in einer Tagesstunde aktiv, in der es fast nie aktiv ist, beurteilt in Ortszeit nach etwa einer Woche Verlauf. || Un appareil est actif à une heure du jour où il ne l'est presque jamais, jugé en heure locale après environ une semaine d'historique. || Un dispositivo está activo en una hora del día en la que casi nunca lo está, juzgado en hora local tras una semana de historial. || Zariadenie je aktívne v hodine dňa, keď takmer nikdy nie je, posudzované v miestnom čase po približne týždni histórie.
Address hijacking (ARP) || Adress-Hijacking (ARP) || Détournement d'adresse (ARP) || Suplantación de dirección (ARP) || Únos adresy (ARP)
Two devices claim one IP address, or an ARP message is inconsistent: how a man-in-the-middle attack starts. Scored higher when the address is the default gateway. || Zwei Geräte beanspruchen eine IP-Adresse, oder eine ARP-Nachricht ist widersprüchlich: So beginnt ein Man-in-the-Middle-Angriff. Höher bewertet, wenn es die Standard-Gateway-Adresse ist. || Deux appareils revendiquent la même adresse IP, ou un message ARP est incohérent : c'est ainsi que commence une attaque de l'homme du milieu. Score plus élevé si l'adresse est la passerelle par défaut. || Dos dispositivos reclaman una misma dirección IP, o un mensaje ARP es incoherente: así empieza un ataque de intermediario. Puntúa más alto si la dirección es la puerta de enlace predeterminada. || Dve zariadenia si nárokujú jednu IP adresu alebo je správa ARP nekonzistentná: tak začína útok man-in-the-middle. Vyššie skóre, ak ide o predvolenú bránu.
Device went silent || Gerät verstummt || Appareil devenu silencieux || Dispositivo en silencio || Zariadenie zmĺklo
A device that is almost always online has not been seen for a while. Also raised once when a whole remote site stops reporting. || Ein Gerät, das fast immer online ist, wurde eine Zeit lang nicht gesehen. Wird auch einmal ausgelöst, wenn ein ganzer entfernter Standort nicht mehr meldet. || Un appareil presque toujours en ligne n'a pas été vu depuis un moment. Également déclenchée une fois lorsqu'un site distant entier cesse de rapporter. || Un dispositivo casi siempre en línea no se ha visto desde hace un tiempo. También se genera una vez cuando un sitio remoto completo deja de informar. || Zariadenie, ktoré je takmer stále online, nebolo nejaký čas videné. Vyvolá sa aj raz, keď prestane hlásiť celá vzdialená lokalita.
active sweeps (not --passive-only) || aktive Scans (nicht --passive-only) || balayages actifs (pas --passive-only) || barridos activos (no --passive-only) || aktívne skeny (nie --passive-only)
