# Rules page UX: flows-required markers, collapsed "never for" sections, clearer watch forms.
needs traffic analysis (--flows), on the main interface or a mirror port || benötigt Verkehrsanalyse (--flows), auf der Hauptschnittstelle oder einem Mirror-Port || nécessite l'analyse du trafic (--flows), sur l'interface principale ou un port miroir || necesita análisis de tráfico (--flows), en la interfaz principal o un puerto espejo || vyžaduje analýzu prevádzky (--flows), na hlavnom rozhraní alebo mirror porte
not currently running (see Health) || derzeit nicht aktiv (siehe Health) || actuellement inactif (voir Santé) || no está activo actualmente (ver Salud) || momentálne nebeží (pozri Health)
Needs traffic analysis (--flows). || Benötigt Verkehrsanalyse (--flows). || Nécessite l'analyse du trafic (--flows). || Necesita análisis de tráfico (--flows). || Vyžaduje analýzu prevádzky (--flows).
not currently running || derzeit nicht aktiv || actuellement inactif || no está activo actualmente || momentálne nebeží
Needs traffic analysis on a mirror port (--flows). || Benötigt Verkehrsanalyse an einem Mirror-Port (--flows). || Nécessite l'analyse du trafic sur un port miroir (--flows). || Necesita análisis de tráfico en un puerto espejo (--flows). || Vyžaduje analýzu prevádzky na mirror porte (--flows).
Not currently running: traffic analysis on a mirror port (--flows) is off. Watches are saved but will not fire until it is on. || Derzeit nicht aktiv: Verkehrsanalyse an einem Mirror-Port (--flows) ist aus. Wachen werden gespeichert, lösen aber erst aus, wenn sie aktiv ist. || Actuellement inactif : l'analyse du trafic sur un port miroir (--flows) est désactivée. Les surveillances sont enregistrées mais ne se déclencheront pas tant qu'elle n'est pas active. || No está activo actualmente: el análisis de tráfico en un puerto espejo (--flows) está apagado. Las vigilancias se guardan pero no se activarán hasta que esté encendido. || Momentálne nebeží: analýza prevádzky na mirror porte (--flows) je vypnutá. Watch sa uloží, ale nespustí sa, kým nebude zapnutá.
Traffic analysis on a mirror port is not currently running: this watch is saved but will not fire until it is (see Health). || Verkehrsanalyse an einem Mirror-Port ist derzeit nicht aktiv: Diese Wache wird gespeichert, löst aber erst aus, wenn sie aktiv ist (siehe Health). || L'analyse du trafic sur un port miroir n'est pas active actuellement : cette surveillance est enregistrée mais ne se déclenchera pas tant qu'elle ne l'est pas (voir Santé). || El análisis de tráfico en un puerto espejo no está activo actualmente: esta vigilancia se guarda pero no se activará hasta que lo esté (ver Salud). || Analýza prevádzky na mirror porte momentálne nebeží: tento watch sa uloží, ale nespustí sa, kým nebude bežať (pozri Health).
Watch enabled || Watch aktiviert || Surveillance activée || Vigilancia habilitada || Watch zapnutý
Start from a ready-made watch, then adjust it below (optional) || Von einer vorgefertigten Wache ausgehen und unten anpassen (optional) || Partir d'une surveillance prête à l'emploi, puis l'ajuster ci-dessous (facultatif) || Partir de una vigilancia lista, luego ajustarla abajo (opcional) || Začni od hotového watchu a uprav ho nižšie (voliteľné)
Never for these senders ({n}) || Nie für diese Absender ({n}) || Jamais pour ces expéditeurs ({n}) || Nunca para estos remitentes ({n}) || Nikdy pre týchto odosielateľov ({n})
Never for these senders || Nie für diese Absender || Jamais pour ces expéditeurs || Nunca para estos remitentes || Nikdy pre týchto odosielateľov
Optional: excludes senders that would otherwise match, for example your own engineering station. || Optional: schließt Absender aus, die sonst zutreffen würden, zum Beispiel Ihre eigene Engineering-Station. || Facultatif : exclut les expéditeurs qui correspondraient sinon, par exemple votre propre poste d'ingénierie. || Opcional: excluye remitentes que de otro modo coincidirían, por ejemplo su propia estación de ingeniería. || Voliteľné: vylúči odosielateľov, ktorí by inak vyhoveli, napríklad tvoju vlastnú inžiniersku stanicu.
Not currently running: traffic analysis (--flows) is off. Watches are saved but will not fire until it is on. || Derzeit nicht aktiv: Verkehrsanalyse (--flows) ist aus. Wachen werden gespeichert, lösen aber erst aus, wenn sie aktiv ist. || Actuellement inactif : l'analyse du trafic (--flows) est désactivée. Les surveillances sont enregistrées mais ne se déclencheront pas tant qu'elle n'est pas active. || No está activo actualmente: el análisis de tráfico (--flows) está apagado. Las vigilancias se guardan pero no se activarán hasta que esté encendido. || Momentálne nebeží: analýza prevádzky (--flows) je vypnutá. Watch sa uloží, ale nespustí sa, kým nebude zapnutá.
Traffic analysis (--flows) is not currently running: this watch is saved but will not fire until it is (see Health). || Verkehrsanalyse (--flows) ist derzeit nicht aktiv: Diese Wache wird gespeichert, löst aber erst aus, wenn sie aktiv ist (siehe Health). || L'analyse du trafic (--flows) n'est pas active actuellement : cette surveillance est enregistrée mais ne se déclenchera pas tant qu'elle ne l'est pas (voir Santé). || El análisis de tráfico (--flows) no está activo actualmente: esta vigilancia se guarda pero no se activará hasta que lo esté (ver Salud). || Analýza prevádzky (--flows) momentálne nebeží: tento watch sa uloží, ale nespustí sa, kým nebude bežať (pozri Health).
Never for these devices ({n}) || Nie für diese Geräte ({n}) || Jamais pour ces appareils ({n}) || Nunca para estos dispositivos ({n}) || Nikdy pre tieto zariadenia ({n})
Optional: excludes devices that would otherwise match. || Optional: schließt Geräte aus, die sonst zutreffen würden. || Facultatif : exclut les appareils qui correspondraient sinon. || Opcional: excluye dispositivos que de otro modo coincidirían. || Voliteľné: vylúči zariadenia, ktoré by inak vyhoveli.
