# Static text of the console pages (ui/index.html) and a few messages built in the code.
too many attempts; try again in {n} seconds || zu viele Versuche; in {n} Sekunden erneut versuchen || trop de tentatives ; réessayez dans {n} secondes || demasiados intentos; vuelva a intentarlo en {n} segundos || príliš veľa pokusov; skúste znova o {n} s
password must be at least {n} characters || das Passwort muss mindestens {n} Zeichen lang sein || le mot de passe doit comporter au moins {n} caractères || la contraseña debe tener al menos {n} caracteres || heslo musí mať aspoň {n} znakov
DENIS || DENIS || DENIS || DENIS || DENIS
Username || Benutzername || Nom d'utilisateur || Usuario || Používateľské meno
Password || Passwort || Mot de passe || Contraseña || Heslo
Sign in || Anmelden || Se connecter || Iniciar sesión || Prihlásiť sa
Sign in with a passkey || Mit Passkey anmelden || Se connecter avec une clé d'accès || Iniciar sesión con una clave de acceso || Prihlásiť sa cez passkey
Help || Hilfe || Aide || Ayuda || Pomocník
Sign out || Abmelden || Se déconnecter || Cerrar sesión || Odhlásiť sa
Scan now || Jetzt scannen || Scanner maintenant || Escanear ahora || Skenovať teraz
Monitor || Überwachen || Surveiller || Monitorizar || Monitorovanie
Devices || Geräte || Appareils || Dispositivos || Zariadenia
Findings || Befunde || Constats || Hallazgos || Zistenia
Analyze || Analysieren || Analyser || Analizar || Analýza
Topology || Topologie || Topologie || Topología || Topológia
OT || OT || OT || OT || OT
Software || Software || Logiciels || Software || Softvér
Trends || Trends || Tendances || Tendencias || Trendy
Events || Ereignisse || Événements || Eventos || Udalosti
Compliance || Compliance || Conformité || Cumplimiento || Súlad
Manage || Verwalten || Gérer || Administrar || Správa
Rules || Regeln || Règles || Reglas || Pravidlá
Alerting || Alarmierung || Alertes sortantes || Alertas externas || Upozorňovanie
Sites || Standorte || Sites || Sitios || Lokality
Users || Benutzer || Utilisateurs || Usuarios || Používatelia
Last 24 hours || Letzte 24 Stunden || 24 dernières heures || Últimas 24 horas || Posledných 24 hodín
Last 7 days || Letzte 7 Tage || 7 derniers jours || Últimos 7 días || Posledných 7 dní
Last 30 days || Letzte 30 Tage || 30 derniers jours || Últimos 30 días || Posledných 30 dní
+ Add asset || + Gerät hinzufügen || + Ajouter un appareil || + Añadir dispositivo || + Pridať zariadenie
Import CSV || CSV importieren || Importer un CSV || Importar CSV || Importovať CSV
Devices CSV || Geräte-CSV || CSV des appareils || CSV de dispositivos || CSV zariadení
Alerts CSV || Warnungen-CSV || CSV des alertes || CSV de alertas || CSV upozornení
Printable report || Druckbarer Bericht || Rapport imprimable || Informe imprimible || Tlačiteľný report
online only || nur online || en ligne uniquement || solo en línea || iba online
needs review || Prüfung nötig || à examiner || requiere revisión || treba skontrolovať
Mark all shown as known || Alle angezeigten als bekannt markieren || Marquer tous les appareils affichés comme connus || Marcar todos los mostrados como conocidos || Označiť všetky zobrazené ako známe
show acknowledged || Bestätigte anzeigen || afficher les acquittées || mostrar confirmadas || zobraziť potvrdené
Site || Standort || Site || Sitio || Lokalita
Risk || Risiko || Risque || Riesgo || Riziko
IP || IP || IP || IP || IP
MAC || MAC || MAC || MAC || MAC
OS guess || Betriebssystem (Schätzung) || SE supposé || SO estimado || Odhad OS
Type || Typ || Type || Tipo || Typ
Time || Zeit || Heure || Hora || Čas
Device || Gerät || Appareil || Dispositivo || Zariadenie
What happened || Was passiert ist || Ce qui s'est passé || Qué ha pasado || Čo sa stalo
No alerts. New devices and destinations are only flagged after the learning period. || Keine Warnungen. Neue Geräte und Ziele werden erst nach der Lernphase gemeldet. || Aucune alerte. Les nouveaux appareils et destinations ne sont signalés qu'après la période d'apprentissage. || Sin alertas. Los dispositivos y destinos nuevos solo se señalan tras el periodo de aprendizaje. || Žiadne upozornenia. Nové zariadenia a ciele sa hlásia až po období učenia.
Links show which gateway a device sits behind, not who talks to whom: a single collector cannot see device-to-device traffic. Colour is the risk level; faded nodes were not seen recently; a red dot marks unacknowledged alerts. || Die Linien zeigen, hinter welchem Gateway ein Gerät sitzt, nicht wer mit wem spricht: Ein einzelner Collector sieht keinen Verkehr zwischen Geräten. Die Farbe ist die Risikostufe; blasse Knoten wurden länger nicht gesehen; ein roter Punkt markiert unbestätigte Warnungen. || Les liens indiquent derrière quelle passerelle se trouve un appareil, pas qui parle à qui : un collecteur seul ne voit pas le trafic entre appareils. La couleur est le niveau de risque ; les nœuds estompés n'ont pas été vus récemment ; un point rouge signale des alertes non acquittées. || Los enlaces muestran tras qué puerta de enlace está un dispositivo, no quién habla con quién: un único colector no ve el tráfico entre dispositivos. El color es el nivel de riesgo; los nodos atenuados no se han visto recientemente; un punto rojo marca alertas sin confirmar. || Spojenia ukazujú, za ktorou bránou zariadenie je, nie kto s kým komunikuje: jediný kolektor nevidí prevádzku medzi zariadeniami. Farba je úroveň rizika; zoslabené uzly neboli nedávno videné; červená bodka označuje nepotvrdené upozornenia.
Industrial devices || Industriegeräte || Appareils industriels || Dispositivos industriales || Priemyselné zariadenia
Purdue || Purdue || Purdue || Purdue || Purdue
Protocols || Protokolle || Protocoles || Protocolos || Protokoly
No industrial devices identified yet. Industrial protocols are decoded passively from traffic that reaches this collector: run with || Noch keine Industriegeräte erkannt. Industrieprotokolle werden passiv aus dem Verkehr dekodiert, der diesen Collector erreicht: Starten Sie mit || Aucun appareil industriel identifié pour l'instant. Les protocoles industriels sont décodés passivement à partir du trafic qui atteint ce collecteur : lancez avec || Aún no se ha identificado ningún dispositivo industrial. Los protocolos industriales se decodifican de forma pasiva a partir del tráfico que llega a este colector: ejecute con || Zatiaľ neboli rozpoznané žiadne priemyselné zariadenia. Priemyselné protokoly sa dekódujú pasívne z prevádzky, ktorá dorazí do tohto kolektora: spustite s
on a mirror/SPAN port or tap. Purdue level and zone can be set per device. || an einem Mirror-/SPAN-Port oder Tap. Purdue-Ebene und Zone lassen sich pro Gerät festlegen. || sur un port miroir/SPAN ou un TAP. Le niveau Purdue et la zone se règlent par appareil. || en un puerto espejo/SPAN o un tap. El nivel Purdue y la zona se pueden fijar por dispositivo. || na zrkadlovom porte/SPAN alebo TAP. Úroveň Purdue a zónu možno nastaviť pre každé zariadenie.
Communications matrix || Kommunikationsmatrix || Matrice de communications || Matriz de comunicaciones || Komunikačná matica
only writes / control commands || nur Schreib-/Steuerbefehle || uniquement écritures / commandes de contrôle || solo escrituras / comandos de control || iba zápisy / riadiace príkazy
Client || Client || Client || Cliente || Klient
Server || Server || Serveur || Servidor || Server
