# Physical topology and switches read over SNMP (0.4.0).
no such switch || Switch nicht gefunden || commutateur introuvable || conmutador no encontrado || taký switch neexistuje
Connected to || Angeschlossen an || Connecté à || Conectado a || Pripojené k
announced by the device || vom Gerät selbst gemeldet || annoncé par l'appareil lui-même || anunciado por el propio dispositivo || oznámené samotným zariadením
learned from the switch || vom Switch gelernt || appris par le commutateur || aprendido del conmutador || zistené zo switchu
No switches are read yet. Add a switch (its address and a read-only SNMP community) and DENIS shows which port each device is plugged into and how the switches are cabled together. || Es werden noch keine Switches ausgelesen. Fügen Sie einen Switch hinzu (seine Adresse und eine schreibgeschützte SNMP-Community), und DENIS zeigt, an welchem Port jedes Gerät steckt und wie die Switches verkabelt sind. || Aucun commutateur n'est encore lu. Ajoutez un commutateur (son adresse et une communauté SNMP en lecture seule) et DENIS montre sur quel port chaque appareil est branché et comment les commutateurs sont reliés. || Aún no se lee ningún conmutador. Añada uno (su dirección y una comunidad SNMP de solo lectura) y DENIS mostrará en qué puerto está conectado cada dispositivo y cómo están cableados los conmutadores. || Zatiaľ sa nečíta žiadny switch. Pridajte switch (jeho adresu a SNMP community iba na čítanie) a DENIS ukáže, do ktorého portu je každé zariadenie zapojené a ako sú switche prepojené káblami.
Add a switch… || Switch hinzufügen … || Ajouter un commutateur… || Añadir un conmutador… || Pridať switch…
An administrator can add switches under Settings. || Ein Administrator kann Switches unter Einstellungen hinzufügen. || Un administrateur peut ajouter des commutateurs dans Paramètres. || Un administrador puede añadir conmutadores en Ajustes. || Switche môže pridať administrátor v Nastaveniach.
Physical topology || Physische Topologie || Topologie physique || Topología física || Fyzická topológia
cannot be read || nicht lesbar || illisible || no se puede leer || nedá sa čítať
{ports} ports ({up} up), {macs} MACs learned; read {ago}. || {ports} Ports ({up} aktiv), {macs} MACs gelernt; gelesen {ago}. || {ports} ports ({up} actifs), {macs} MAC apprises ; lu {ago}. || {ports} puertos ({up} activos), {macs} MAC aprendidas; leído {ago}. || {ports} portov ({up} aktívnych), {macs} naučených MAC; načítané {ago}.
Not read yet. || Noch nicht gelesen. || Pas encore lu. || Aún no leído. || Zatiaľ nenačítané.
{n} more MAC addresses are plugged into access ports but are not in the register. || {n} weitere MAC-Adressen hängen an Zugangsports, sind aber nicht im Register. || {n} autres adresses MAC sont branchées sur des ports d'accès mais ne figurent pas dans le registre. || {n} direcciones MAC más están conectadas a puertos de acceso pero no están en el registro. || {n} ďalších MAC adries je zapojených do prístupových portov, ale nie sú v registri.
DENIS reads your switches over SNMP (v2c, read only) to show which port each device is plugged into and how the switches are cabled. Use a read-only community, allow only this server to query it, and remember that v2c sends the community unencrypted. DENIS never changes anything on a switch. || DENIS liest Ihre Switches über SNMP (v2c, nur lesend), um zu zeigen, an welchem Port jedes Gerät steckt und wie die Switches verkabelt sind. Verwenden Sie eine schreibgeschützte Community, erlauben Sie nur diesem Server die Abfrage und bedenken Sie, dass v2c die Community unverschlüsselt sendet. DENIS ändert nie etwas an einem Switch. || DENIS lit vos commutateurs via SNMP (v2c, lecture seule) pour montrer sur quel port chaque appareil est branché et comment les commutateurs sont reliés. Utilisez une communauté en lecture seule, n'autorisez que ce serveur à l'interroger et rappelez-vous que v2c envoie la communauté en clair. DENIS ne modifie jamais rien sur un commutateur. || DENIS lee sus conmutadores por SNMP (v2c, solo lectura) para mostrar en qué puerto está conectado cada dispositivo y cómo están cableados. Use una comunidad de solo lectura, permita consultarla solo a este servidor y recuerde que v2c envía la comunidad sin cifrar. DENIS nunca cambia nada en un conmutador. || DENIS číta vaše switche cez SNMP (v2c, iba na čítanie), aby ukázal, do ktorého portu je každé zariadenie zapojené a ako sú switche prepojené. Použite community iba na čítanie, povoľte dopyty len tomuto serveru a pamätajte, že v2c posiela community nešifrovane. DENIS na switchi nikdy nič nemení.
