# Reports page (0.4.0).
Reports || Berichte || Rapports || Informes || Reporty
Never || Nie || Jamais || Nunca || Nikdy
Every week || Jede Woche || Chaque semaine || Cada semana || Každý týždeň
Every month || Jeden Monat || Chaque mois || Cada mes || Každý mesiac
{n} reports, {size} in total. || {n} Berichte, insgesamt {size}. || {n} rapports, {size} au total. || {n} informes, {size} en total. || {n} reportov, spolu {size}.
On schedule || Nach Zeitplan || Planifié || Programado || Podľa plánu
By hand || Von Hand || Manuel || Manual || Ručne
1 day || 1 Tag || 1 jour || 1 día || 1 deň
{n} days || {n} Tage || {n} jours || {n} días || {n} dní
Open || Öffnen || Ouvrir || Abrir || Otvoriť
Download || Herunterladen || Télécharger || Descargar || Stiahnuť
Delete the report from {date}? It cannot be recovered. || Den Bericht vom {date} löschen? Er lässt sich nicht wiederherstellen. || Supprimer le rapport du {date} ? Il ne pourra pas être récupéré. || ¿Eliminar el informe del {date}? No se puede recuperar. || Zmazať report z {date}? Nedá sa obnoviť.
Make a report automatically || Bericht automatisch erstellen || Créer un rapport automatiquement || Crear un informe automáticamente || Vytvárať report automaticky
Each one covers || Jeder umfasst || Chacun couvre || Cada uno abarca || Každý pokrýva
Keep the newest || Die neuesten behalten || Conserver les plus récents || Conservar los más recientes || Ponechať najnovších
Older scheduled reports are removed; reports you made by hand are never removed. || Ältere geplante Berichte werden entfernt; von Hand erstellte Berichte nie. || Les anciens rapports planifiés sont supprimés ; ceux créés manuellement ne le sont jamais. || Los informes programados más antiguos se eliminan; los creados a mano nunca se eliminan. || Staršie plánované reporty sa odstraňujú; ručne vytvorené sa nikdy neodstraňujú.
Only an administrator can change the schedule. || Nur ein Administrator kann den Zeitplan ändern. || Seul un administrateur peut modifier la planification. || Solo un administrador puede cambiar la programación. || Plán môže meniť iba administrátor.
Save schedule || Zeitplan speichern || Enregistrer la planification || Guardar la programación || Uložiť plán
Making the report… || Bericht wird erstellt … || Création du rapport… || Creando el informe… || Vytváram report…
