# Network (IT) watches on the Rules page (0.4.0).
Devices talking to the internet || Geräte, die mit dem Internet kommunizieren || Appareils qui communiquent avec Internet || Dispositivos que se comunican con internet || Zariadenia komunikujúce s internetom
Remote access crossing the boundary (RDP, SSH, VNC, Telnet) || Fernzugriff über die Netzgrenze (RDP, SSH, VNC, Telnet) || Accès à distance franchissant la frontière (RDP, SSH, VNC, Telnet) || Acceso remoto que cruza el límite de la red (RDP, SSH, VNC, Telnet) || Vzdialený prístup cez hranicu siete (RDP, SSH, VNC, Telnet)
Anything but DNS, web and time to the internet || Alles außer DNS, Web und Zeit ins Internet || Tout sauf DNS, web et heure vers Internet || Todo excepto DNS, web y hora hacia internet || Všetko okrem DNS, webu a času do internetu
Mail sent straight from a device (SMTP) || E-Mail, die direkt von einem Gerät versendet wird (SMTP) || Courriel envoyé directement par un appareil (SMTP) || Correo enviado directamente desde un dispositivo (SMTP) || Pošta odoslaná priamo zo zariadenia (SMTP)
Large transfer to the internet (5 MB or more in 10 seconds) || Große Übertragung ins Internet (5 MB oder mehr in 10 Sekunden) || Gros transfert vers Internet (5 Mo ou plus en 10 secondes) || Transferencia grande hacia internet (5 MB o más en 10 segundos) || Veľký prenos do internetu (5 MB alebo viac za 10 sekúnd)
Devices reaching the local network || Geräte, die das lokale Netz erreichen || Appareils qui atteignent le réseau local || Dispositivos que llegan a la red local || Zariadenia, ktoré sa dostanú do lokálnej siete
the internet || das Internet || Internet || internet || internet
the local network || das lokale Netz || le réseau local || la red local || lokálna sieť
any address || jede Adresse || n'importe quelle adresse || cualquier dirección || ľubovoľná adresa
to {list} || zu {list} || vers {list} || hacia {list} || do {list}
to anywhere except {list} || überallhin außer {list} || partout sauf vers {list} || a cualquier sitio excepto {list} || kamkoľvek okrem {list}
on port {list} || auf Port {list} || sur le port {list} || en el puerto {list} || na porte {list}
on any port except {list} || auf jedem Port außer {list} || sur tout port sauf {list} || en cualquier puerto excepto {list} || na ľubovoľnom porte okrem {list}
at least {n} kB || mindestens {n} kB || au moins {n} ko || al menos {n} kB || aspoň {n} kB
Never for || Nie für || Jamais pour || Nunca para || Nikdy pre
Your network watches || Ihre Netzwerküberwachungen || Vos surveillances réseau || Sus vigilancias de red || Vaše sieťové sledovania
Be told when devices you choose talk to addresses or ports you did not allow: cameras reaching the internet, a server using an unusual port, the guest network reaching the office. Needs traffic analysis (--flows). Watches also fire during the learning period. || Lassen Sie sich benachrichtigen, wenn ausgewählte Geräte mit Adressen oder Ports sprechen, die Sie nicht erlaubt haben: Kameras, die ins Internet gehen, ein Server mit ungewöhnlichem Port, das Gastnetz, das das Büro erreicht. Erfordert Verkehrsanalyse (--flows). Überwachungen schlagen auch in der Lernphase an. || Soyez prévenu lorsque des appareils de votre choix communiquent avec des adresses ou des ports que vous n'avez pas autorisés : caméras qui atteignent Internet, serveur utilisant un port inhabituel, réseau invités qui atteint le bureau. Nécessite l'analyse du trafic (--flows). Les surveillances se déclenchent aussi pendant la période d'apprentissage. || Reciba un aviso cuando dispositivos que elija se comuniquen con direcciones o puertos que no permitió: cámaras que llegan a internet, un servidor con un puerto inusual, la red de invitados que llega a la oficina. Requiere análisis de tráfico (--flows). Las vigilancias también se activan durante el periodo de aprendizaje. || Dajte si oznámiť, keď zariadenia, ktoré vyberiete, komunikujú s adresami alebo portmi, ktoré ste nepovolili: kamery pristupujúce na internet, server s nezvyčajným portom, hosťovská sieť dosahujúca kanceláriu. Vyžaduje analýzu prevádzky (--flows). Sledovania sa spúšťajú aj počas učiaceho obdobia.
e.g. Cameras must not reach the internet || z. B. Kameras dürfen nicht ins Internet || p. ex. Les caméras ne doivent pas atteindre Internet || p. ej. Las cámaras no deben llegar a internet || napr. Kamery nesmú ísť na internet
any port || jeder Port || n'importe quel port || cualquier puerto || ľubovoľný port
only these ports || nur diese Ports || uniquement ces ports || solo estos puertos || iba tieto porty
any port except these || jeder Port außer diesen || tout port sauf ceux-ci || cualquier puerto excepto estos || ľubovoľný port okrem týchto
e.g. 22, 3389 || z. B. 22, 3389 || p. ex. 22, 3389 || p. ej. 22, 3389 || napr. 22, 3389
only these addresses || nur diese Adressen || uniquement ces adresses || solo estas direcciones || iba tieto adresy
any address except these || jede Adresse außer diesen || toute adresse sauf celles-ci || cualquier dirección excepto estas || ľubovoľná adresa okrem týchto
e.g. public, 10.0.5.0/24, 192.168.1.10 || z. B. public, 10.0.5.0/24, 192.168.1.10 || p. ex. public, 10.0.5.0/24, 192.168.1.10 || p. ej. public, 10.0.5.0/24, 192.168.1.10 || napr. public, 10.0.5.0/24, 192.168.1.10
the internet (public) || das Internet (public) || Internet (public) || internet (public) || internet (public)
the local network (private) || das lokale Netz (private) || le réseau local (private) || la red local (private) || lokálna sieť (private)
Add a network watch || Netzwerküberwachung hinzufügen || Ajouter une surveillance réseau || Añadir una vigilancia de red || Pridať sieťové sledovanie
Edit the network watch || Netzwerküberwachung bearbeiten || Modifier la surveillance réseau || Editar la vigilancia de red || Upraviť sieťové sledovanie
For these devices (empty: any device) || Für diese Geräte (leer: jedes Gerät) || Pour ces appareils (vide : tous) || Para estos dispositivos (vacío: cualquiera) || Pre tieto zariadenia (prázdne: ľubovoľné)
Never for these devices || Nie für diese Geräte || Jamais pour ces appareils || Nunca para estos dispositivos || Nikdy pre tieto zariadenia
Talking on || Kommunikation über || Communication sur || Comunicación por || Komunikácia cez
Ports (comma separated) || Ports (durch Komma getrennt) || Ports (séparés par des virgules) || Puertos (separados por comas) || Porty (oddelené čiarkou)
Talking to || Kommunikation mit || Communication avec || Comunicación con || Komunikácia s
Addresses (comma separated) || Adressen (durch Komma getrennt) || Adresses (séparées par des virgules) || Direcciones (separadas por comas) || Adresy (oddelené čiarkou)
Use the words public (the internet) and private (the local network), single addresses, or networks like 10.0.5.0/24. || Verwenden Sie die Wörter public (das Internet) und private (das lokale Netz), einzelne Adressen oder Netze wie 10.0.5.0/24. || Utilisez les mots public (Internet) et private (le réseau local), des adresses isolées ou des réseaux comme 10.0.5.0/24. || Use las palabras public (internet) y private (la red local), direcciones sueltas o redes como 10.0.5.0/24. || Použite slová public (internet) a private (lokálna sieť), jednotlivé adresy alebo siete ako 10.0.5.0/24.
Only when at least this many kB moved in 10 seconds (0: any amount) || Nur wenn mindestens so viele kB in 10 Sekunden übertragen wurden (0: beliebig viel) || Seulement si au moins autant de ko ont circulé en 10 secondes (0 : n'importe quelle quantité) || Solo si se movieron al menos tantos kB en 10 segundos (0: cualquier cantidad) || Iba keď sa za 10 sekúnd prenieslo aspoň toľko kB (0: ľubovoľné množstvo)
At most one alert per device, address and port in this many minutes || Höchstens ein Alarm pro Gerät, Adresse und Port in dieser Zahl von Minuten || Au plus une alerte par appareil, adresse et port dans ce nombre de minutes || Como máximo una alerta por dispositivo, dirección y puerto en estos minutos || Najviac jedno upozornenie na zariadenie, adresu a port za tento počet minút
Ports are numbers from 1 to 65535, separated by commas. || Ports sind Zahlen von 1 bis 65535, durch Kommas getrennt. || Les ports sont des nombres de 1 à 65535, séparés par des virgules. || Los puertos son números del 1 al 65535, separados por comas. || Porty sú čísla od 1 do 65535 oddelené čiarkami.
