# End of support and known exploited vulnerabilities from software versions (0.4.0).
Software that its vendor no longer supports || Software, die der Hersteller nicht mehr unterstützt || Logiciel que son éditeur ne prend plus en charge || Software que su fabricante ya no soporta || Softvér, ktorý jeho výrobca už nepodporuje
The version a device announces has reached the end of its support: no more security fixes are published for it, so every new weakness stays open. || Die Version, die ein Gerät meldet, hat das Ende ihres Supports erreicht: Es werden keine Sicherheitskorrekturen mehr veröffentlicht, sodass jede neue Schwachstelle offen bleibt. || La version annoncée par un appareil est arrivée en fin de support : plus aucun correctif de sécurité n'est publié, donc chaque nouvelle faille reste ouverte. || La versión que anuncia un dispositivo ha llegado al fin de su soporte: ya no se publican correcciones de seguridad, por lo que cada nueva vulnerabilidad queda abierta. || Verzia, ktorú zariadenie oznamuje, dosiahla koniec podpory: už sa nevydávajú bezpečnostné opravy, takže každá nová slabina zostáva otvorená.
Update to a supported version, or replace the device. Where that is not possible, restrict who can reach the service and watch the device closely. || Aktualisieren Sie auf eine unterstützte Version oder ersetzen Sie das Gerät. Wo das nicht möglich ist, beschränken Sie, wer den Dienst erreichen kann, und beobachten Sie das Gerät genau. || Passez à une version prise en charge, ou remplacez l'appareil. Si ce n'est pas possible, limitez l'accès au service et surveillez l'appareil de près. || Actualice a una versión soportada o sustituya el dispositivo. Si no es posible, restrinja quién puede llegar al servicio y vigile de cerca el dispositivo. || Aktualizujte na podporovanú verziu alebo zariadenie vymeňte. Ak to nie je možné, obmedzte, kto sa k službe dostane, a zariadenie pozorne sledujte.
Software whose support ends within 90 days || Software, dessen Support innerhalb von 90 Tagen endet || Logiciel dont la prise en charge se termine dans les 90 jours || Software cuyo soporte termina en 90 días || Softvér, ktorého podpora skončí do 90 dní
The version a device announces stops receiving security fixes soon. || Für die Version, die ein Gerät meldet, gibt es bald keine Sicherheitskorrekturen mehr. || La version annoncée par un appareil ne recevra bientôt plus de correctifs de sécurité. || La versión que anuncia un dispositivo dejará pronto de recibir correcciones de seguridad. || Verzia, ktorú zariadenie oznamuje, čoskoro prestane dostávať bezpečnostné opravy.
Plan the update now, while it is still supported. || Planen Sie die Aktualisierung jetzt, solange sie noch unterstützt wird. || Planifiez la mise à jour dès maintenant, tant qu'elle est encore prise en charge. || Planifique la actualización ahora, mientras aún está soportada. || Naplánujte aktualizáciu teraz, kým je ešte podporovaná.
Software with a vulnerability that attackers are exploiting || Software mit einer Schwachstelle, die Angreifer ausnutzen || Logiciel présentant une vulnérabilité exploitée par des attaquants || Software con una vulnerabilidad que los atacantes están explotando || Softvér so zraniteľnosťou, ktorú útočníci zneužívajú
The version a device announces is in the range affected by a vulnerability on CISA's list of known exploited vulnerabilities. Distributions sometimes fix a flaw without changing the version number, so check before assuming the device is open to it. || Die Version, die ein Gerät meldet, liegt im Bereich einer Schwachstelle aus der CISA-Liste der bekannten ausgenutzten Schwachstellen. Distributionen beheben Fehler manchmal, ohne die Versionsnummer zu ändern; prüfen Sie es also, bevor Sie annehmen, das Gerät sei anfällig. || La version annoncée par un appareil se situe dans la plage touchée par une vulnérabilité de la liste CISA des vulnérabilités connues et exploitées. Les distributions corrigent parfois une faille sans changer le numéro de version : vérifiez avant de supposer que l'appareil est exposé. || La versión que anuncia un dispositivo está en el rango afectado por una vulnerabilidad de la lista de vulnerabilidades explotadas conocidas de CISA. Las distribuciones a veces corrigen un fallo sin cambiar el número de versión: compruébelo antes de dar por hecho que el dispositivo es vulnerable. || Verzia, ktorú zariadenie oznamuje, je v rozsahu zasiahnutom zraniteľnosťou zo zoznamu známych zneužívaných zraniteľností CISA. Distribúcie niekedy opravia chybu bez zmeny čísla verzie, preto to overte, než predpokladáte, že je zariadenie zraniteľné.
Update to a fixed version, or ask your distribution or vendor whether the fix is already included in this one. Until then restrict who can reach the service. || Aktualisieren Sie auf eine korrigierte Version oder fragen Sie Ihre Distribution bzw. Ihren Hersteller, ob die Korrektur in dieser bereits enthalten ist. Beschränken Sie bis dahin, wer den Dienst erreichen kann. || Passez à une version corrigée, ou demandez à votre distribution ou éditeur si le correctif est déjà inclus dans celle-ci. D'ici là, limitez l'accès au service. || Actualice a una versión corregida o pregunte a su distribución o fabricante si la corrección ya está incluida en esta. Hasta entonces, restrinja quién puede llegar al servicio. || Aktualizujte na opravenú verziu alebo sa opýtajte svojej distribúcie či výrobcu, či oprava už je v tejto verzii zahrnutá. Dovtedy obmedzte, kto sa k službe dostane.
The manufacturer has an open ICS-CERT advisory || Der Hersteller hat eine offene ICS-CERT-Empfehlung || Le fabricant a un avis ICS-CERT ouvert || El fabricante tiene un aviso ICS-CERT abierto || Výrobca má otvorené odporúčanie ICS-CERT
