# Words the server sends as identifiers (device types, icons, statuses, severities) and messages with values in them.
Updated to {version}. DENIS is restarting. || Auf {version} aktualisiert. DENIS startet neu. || Mise à jour vers {version} effectuée. DENIS redémarre. || Actualizado a {version}. DENIS se está reiniciando. || Aktualizované na {version}. DENIS sa reštartuje.
The update was not installed and nothing was changed: {error} || Die Aktualisierung wurde nicht installiert und nichts wurde verändert: {error} || La mise à jour n'a pas été installée et rien n'a été modifié : {error} || La actualización no se instaló y no se cambió nada: {error} || Aktualizácia sa nenainštalovala a nič sa nezmenilo: {error}
DENIS {to} did not start, so version {from} was put back. || DENIS {to} ist nicht gestartet, daher wurde Version {from} wiederhergestellt. || DENIS {to} n'a pas démarré, la version {from} a donc été remise en place. || DENIS {to} no arrancó, así que se restauró la versión {from}. || DENIS {to} sa nespustil, preto sa vrátila verzia {from}.
The database format had changed, so the backup taken before the update was restored (the newer one is kept as {path}). || Das Datenbankformat hatte sich geändert, daher wurde das vor der Aktualisierung erstellte Backup wiederhergestellt (die neuere Datenbank bleibt als {path} erhalten). || Le format de la base avait changé ; la sauvegarde faite avant la mise à jour a donc été restaurée (la plus récente est conservée sous {path}). || El formato de la base de datos había cambiado, así que se restauró la copia hecha antes de la actualización (la más nueva se conserva como {path}). || Formát databázy sa zmenil, preto sa obnovila záloha vytvorená pred aktualizáciou (novšia sa ponechala ako {path}).
Checking the release || Version wird geprüft || Vérification de la version || Comprobando la versión || Kontrola vydania
Verifying the signature || Signatur wird geprüft || Vérification de la signature || Verificando la firma || Overovanie podpisu
Downloading || Wird heruntergeladen || Téléchargement || Descargando || Sťahovanie
Testing the new program || Neues Programm wird getestet || Test du nouveau programme || Probando el nuevo programa || Testovanie nového programu
Backing up the database || Datenbank wird gesichert || Sauvegarde de la base de données || Copia de seguridad de la base de datos || Zálohovanie databázy
Installing || Wird installiert || Installation || Instalando || Inštalácia
Restarting || Neustart || Redémarrage || Reiniciando || Reštart
light || hell || clair || claro || svetlá
dark || dunkel || sombre || oscuro || tmavá
info || Info || info || info || info
medium || mittel || moyen || medio || stredná
high || hoch || élevé || alto || vysoká
low || niedrig || faible || bajo || nízka
critical || kritisch || critique || crítico || kritická
normal || normal || normale || normal || normálna
spare || Ersatz || de rechange || de repuesto || náhradné
retired || ausgemustert || retiré || retirado || vyradené
lost || verloren || perdu || perdido || stratené
stolen || gestohlen || volé || robado || ukradnuté
computer || Computer || ordinateur || ordenador || počítač
laptop || Laptop || portable || portátil || notebook
server || Server || serveur || servidor || server
virtual machine || virtuelle Maschine || machine virtuelle || máquina virtual || virtuálny stroj
phone || Telefon || téléphone || teléfono || telefón
tablet || Tablet || tablette || tableta || tablet
printer || Drucker || imprimante || impresora || tlačiareň
router || Router || routeur || router || router
network device || Netzwerkgerät || équipement réseau || dispositivo de red || sieťové zariadenie
