# Findings page: verify a fix, accept a risk, the accepted-risks list, and what the server says about them.
When DENIS first saw this kind of finding || Wann DENIS diese Art von Befund zum ersten Mal gesehen hat || Quand DENIS a vu ce type de constat pour la première fois || Cuándo vio DENIS por primera vez este tipo de hallazgo || Kedy DENIS prvýkrát videl tento druh zistenia
since {date} || seit {date} || depuis le {date} || desde {date} || od {date}
until withdrawn || bis zum Widerruf || jusqu'au retrait || hasta que se retire || kým sa nezruší
{date} (in {n} days) || {date} (in {n} Tagen) || {date} (dans {n} jours) || {date} (en {n} días) || {date} (o {n} dní)
Verify fix || Behebung prüfen || Vérifier la correction || Verificar la corrección || Overiť opravu
Look again: scan these devices now and see whether the problem is gone || Noch einmal prüfen: diese Geräte jetzt scannen und sehen, ob das Problem weg ist || Revérifier : scanner ces appareils maintenant et voir si le problème a disparu || Comprobar de nuevo: escanear estos dispositivos ahora y ver si el problema ha desaparecido || Skontrolovať znova: teraz oskenovať tieto zariadenia a zistiť, či problém zmizol
Accept risk… || Risiko akzeptieren … || Accepter le risque… || Aceptar el riesgo… || Akceptovať riziko…
Decide to live with this, with a reason and an end date || Entscheiden, damit zu leben, mit Begründung und Enddatum || Décider de vivre avec, avec un motif et une date de fin || Decidir convivir con esto, con un motivo y una fecha de fin || Rozhodnúť sa s tým žiť, s dôvodom a dátumom ukončenia
Fixed || Behoben || Corrigé || Corregido || Opravené
Still present || Weiterhin vorhanden || Toujours présent || Sigue presente || Stále prítomné
Did not answer || Keine Antwort || Sans réponse || Sin respuesta || Neodpovedalo
Excluded from scans || Von Scans ausgeschlossen || Exclu des scans || Excluido de los escaneos || Vylúčené zo skenov
Not scanned || Nicht gescannt || Non scanné || No escaneado || Neskenované
Checking… || Prüfe … || Vérification… || Comprobando… || Kontrolujem…
Fixed: {n} of {total} devices no longer show it. || Behoben: {n} von {total} Geräten zeigen es nicht mehr. || Corrigé : {n} appareils sur {total} ne le montrent plus. || Corregido: {n} de {total} dispositivos ya no lo muestran. || Opravené: {n} z {total} zariadení to už neukazuje.
Nothing left to check: this finding no longer applies to any device. || Nichts mehr zu prüfen: dieser Befund trifft auf kein Gerät mehr zu. || Plus rien à vérifier : ce constat ne concerne plus aucun appareil. || Nada más que comprobar: este hallazgo ya no afecta a ningún dispositivo. || Nie je čo kontrolovať: toto zistenie sa už netýka žiadneho zariadenia.
{fixed} fixed, {still} still present. || {fixed} behoben, {still} weiterhin vorhanden. || {fixed} corrigé(s), {still} toujours présent(s). || {fixed} corregidos, {still} siguen presentes. || {fixed} opravených, {still} stále prítomných.
The devices were scanned again just now. || Die Geräte wurden soeben erneut gescannt. || Les appareils viennent d'être scannés à nouveau. || Los dispositivos se acaban de escanear de nuevo. || Zariadenia boli práve znova oskenované.
Why is this acceptable? e.g. isolated VLAN, replaced in Q4, compensating control… || Warum ist das vertretbar? z. B. isoliertes VLAN, Ersatz im 4. Quartal, kompensierende Maßnahme … || Pourquoi est-ce acceptable ? p. ex. VLAN isolé, remplacement au T4, mesure compensatoire… || ¿Por qué es aceptable? p. ej. VLAN aislada, sustitución en el T4, control compensatorio… || Prečo je to prijateľné? napr. izolovaná VLAN, výmena vo 4. štvrťroku, kompenzačné opatrenie…
30 days || 30 Tage || 30 jours || 30 días || 30 dní
90 days || 90 Tage || 90 jours || 90 días || 90 dní
180 days || 180 Tage || 180 jours || 180 días || 180 dní
1 year || 1 Jahr || 1 an || 1 año || 1 rok
until I withdraw it || bis ich es widerrufe || jusqu'à ce que je le retire || hasta que lo retire || kým to nezrušim
Accept the risk: {title} || Risiko akzeptieren: {title} || Accepter le risque : {title} || Aceptar el riesgo: {title} || Akceptovať riziko: {title}
The finding disappears from the list below for the devices you choose, and shows up under Accepted risks with your name and reason. It comes back by itself when the time is up, or when you withdraw the decision. || Der Befund verschwindet für die gewählten Geräte aus der Liste unten und erscheint unter „Akzeptierte Risiken“ mit Ihrem Namen und der Begründung. Er kehrt von selbst zurück, wenn die Zeit abläuft oder Sie die Entscheidung widerrufen. || Le constat disparaît de la liste ci-dessous pour les appareils choisis et apparaît sous « Risques acceptés » avec votre nom et le motif. Il revient de lui-même à l'échéance, ou si vous retirez la décision. || El hallazgo desaparece de la lista de abajo para los dispositivos elegidos y aparece en «Riesgos aceptados» con su nombre y el motivo. Vuelve solo cuando se acaba el plazo o si retira la decisión. || Zistenie zmizne zo zoznamu nižšie pre vybrané zariadenia a objaví sa v časti „Akceptované riziká“ s vaším menom a dôvodom. Vráti sa samo, keď uplynie čas, alebo keď rozhodnutie zrušíte.
Reason (kept in the audit log and the report) || Begründung (wird im Audit-Protokoll und im Bericht festgehalten) || Motif (conservé dans le journal d'audit et le rapport) || Motivo (se guarda en el registro de auditoría y en el informe) || Dôvod (uchováva sa v auditnom zázname a v reporte)
