# Error messages the server sends (translated by translateError in ui/admin.js; unknown ones show in English).
invalid username or password || Benutzername oder Passwort ungültig || nom d'utilisateur ou mot de passe invalide || usuario o contraseña no válidos || neplatné používateľské meno alebo heslo
authentication required || Anmeldung erforderlich || authentification requise || se requiere autenticación || vyžaduje sa prihlásenie
password change required || Passwortänderung erforderlich || changement de mot de passe requis || se requiere cambiar la contraseña || vyžaduje sa zmena hesla
your role does not allow this || Ihre Rolle erlaubt dies nicht || votre rôle ne l'autorise pas || su rol no lo permite || vaša rola to nepovoľuje
not available to API tokens || für API-Token nicht verfügbar || indisponible pour les jetons d'API || no disponible para tokens de API || nie je dostupné pre API tokeny
internal error || interner Fehler || erreur interne || error interno || vnútorná chyba
password too long || Passwort zu lang || mot de passe trop long || contraseña demasiado larga || heslo je príliš dlhé
the passkey was not accepted || der Passkey wurde nicht akzeptiert || la clé d'accès n'a pas été acceptée || no se aceptó la clave de acceso || passkey nebol prijatý
the passkey response is not valid || die Passkey-Antwort ist ungültig || la réponse de la clé d'accès n'est pas valide || la respuesta de la clave de acceso no es válida || odpoveď passkey nie je platná
this registration expired; start again || diese Registrierung ist abgelaufen; bitte neu beginnen || cet enregistrement a expiré ; recommencez || este registro caducó; empiece de nuevo || táto registrácia vypršala; začnite znova
this registration belongs to another sign-in || diese Registrierung gehört zu einer anderen Anmeldung || cet enregistrement appartient à une autre connexion || este registro pertenece a otro inicio de sesión || táto registrácia patrí inému prihláseniu
no such passkey || kein solcher Passkey || clé d'accès introuvable || no existe esa clave de acceso || taký passkey neexistuje
too many passkeys || zu viele Passkeys || trop de clés d'accès || demasiadas claves de acceso || príliš veľa passkeys
no such asset || kein solches Gerät || appareil introuvable || no existe ese dispositivo || také zariadenie neexistuje
no such channel || kein solcher Kanal || canal introuvable || no existe ese canal || taký kanál neexistuje
no active API token with that id || kein aktiver API-Token mit dieser ID || aucun jeton d'API actif avec cet identifiant || no hay ningún token de API activo con ese id || žiadny aktívny API token s týmto ID
no active token for that agent || kein aktiver Token für diesen Agenten || aucun jeton actif pour cet agent || no hay ningún token activo para ese agente || pre tohto agenta neexistuje aktívny token
label too long || Bezeichnung zu lang || libellé trop long || etiqueta demasiado larga || popis je príliš dlhý
the logo must be a PNG, JPEG, GIF or WebP image (SVG is not accepted) || das Logo muss ein PNG-, JPEG-, GIF- oder WebP-Bild sein (SVG wird nicht akzeptiert) || le logo doit être une image PNG, JPEG, GIF ou WebP (le SVG n'est pas accepté) || el logotipo debe ser una imagen PNG, JPEG, GIF o WebP (no se acepta SVG) || logo musí byť obrázok PNG, JPEG, GIF alebo WebP (SVG sa neakceptuje)
mac: not a valid unicast MAC address || mac: keine gültige Unicast-MAC-Adresse || mac : adresse MAC unicast invalide || mac: no es una dirección MAC unicast válida || mac: neplatná unicast MAC adresa
minutes must be between 0 and 43200 and the note at most 200 characters || Minuten müssen zwischen 0 und 43200 liegen und die Notiz höchstens 200 Zeichen haben || les minutes doivent être comprises entre 0 et 43200 et la note ne pas dépasser 200 caractères || los minutos deben estar entre 0 y 43200 y la nota tener como máximo 200 caracteres || minúty musia byť medzi 0 a 43200 a poznámka môže mať najviac 200 znakov
the console is not served over TLS (--no-tls) || die Konsole wird nicht über TLS bereitgestellt (--no-tls) || la console n'est pas servie en TLS (--no-tls) || la consola no se sirve por TLS (--no-tls) || konzola nie je poskytovaná cez TLS (--no-tls)
the certificate is managed with --tls-cert/--tls-key: replace those files instead || das Zertifikat wird mit --tls-cert/--tls-key verwaltet: ersetzen Sie stattdessen diese Dateien || le certificat est géré avec --tls-cert/--tls-key : remplacez plutôt ces fichiers || el certificado se gestiona con --tls-cert/--tls-key: reemplace esos archivos || certifikát sa spravuje cez --tls-cert/--tls-key: vymeňte radšej tieto súbory
the certificate is managed with --tls-cert/--tls-key || das Zertifikat wird mit --tls-cert/--tls-key verwaltet || le certificat est géré avec --tls-cert/--tls-key || el certificado se gestiona con --tls-cert/--tls-key || certifikát sa spravuje cez --tls-cert/--tls-key
updates are not available in this mode || Aktualisierungen sind in diesem Modus nicht verfügbar || les mises à jour ne sont pas disponibles dans ce mode || las actualizaciones no están disponibles en este modo || aktualizácie nie sú v tomto režime dostupné
this installation cannot update itself (no release key in this build, or the program folder is not writable): update by hand || diese Installation kann sich nicht selbst aktualisieren (kein Release-Schlüssel in dieser Version oder Programmordner nicht beschreibbar): bitte von Hand aktualisieren || cette installation ne peut pas se mettre à jour seule (pas de clé de publication dans cette version, ou dossier du programme non modifiable) : mettez à jour manuellement || esta instalación no puede actualizarse por sí sola (esta versión no tiene clave de publicación, o la carpeta del programa no es escribible): actualice a mano || táto inštalácia sa nemôže aktualizovať sama (táto zostava nemá kľúč vydania alebo priečinok programu nie je zapisovateľný): aktualizujte ručne
