# Settings page, audit log, account page, exceptions, OT command watches and the settings that came with them.
Be told when this is sent: create a watch || Bescheid bekommen, wenn dies gesendet wird: Überwachung anlegen || Être averti quand ceci est envoyé : créer une surveillance || Recibir un aviso cuando se envíe esto: crear una vigilancia || Dostať upozornenie, keď sa toto odošle: vytvoriť sledovanie
{n} of {total} entries || {n} von {total} Einträgen || {n} entrées sur {total} || {n} de {total} entradas || {n} z {total} záznamov
{n} entries || {n} Einträge || {n} entrées || {n} entradas || {n} záznamov
can read everything || kann alles lesen || peut tout lire || puede leerlo todo || môže všetko čítať
can also edit devices, acknowledge alerts and start scans || kann zusätzlich Geräte bearbeiten, Warnungen bestätigen und Scans starten || peut aussi modifier les appareils, acquitter les alertes et lancer des scans || también puede editar dispositivos, confirmar alertas e iniciar escaneos || môže navyše upravovať zariadenia, potvrdzovať upozornenia a spúšťať skeny
can also manage users, settings and rules || kann zusätzlich Benutzer, Einstellungen und Regeln verwalten || peut aussi gérer les utilisateurs, les réglages et les règles || también puede gestionar usuarios, ajustes y reglas || môže navyše spravovať používateľov, nastavenia a pravidlá
Remove it under Settings → Demo data and reset when you are ready for your own network. || Entfernen Sie sie unter Einstellungen → Demodaten und Zurücksetzen, wenn Sie für Ihr eigenes Netzwerk bereit sind. || Supprimez-les sous Réglages → Données de démonstration et réinitialisation quand vous serez prêt pour votre propre réseau. || Elimínelos en Ajustes → Datos de demostración y restablecimiento cuando esté listo para su propia red. || Odstránite ich v Nastavenia → Demo údaje a obnovenie, keď budete pripravení na vlastnú sieť.
Tag || Tag || Étiquette || Etiqueta || Štítok
Network || Netzwerk || Réseau || Red || Sieť
What to match || Was zugeordnet werden soll || Ce qu'il faut cibler || Qué coincidir || Čo priradiť
e.g. printer || z. B. Drucker || p. ex. imprimante || p. ej. impresora || napr. tlačiareň
tag || Tag || étiquette || etiqueta || štítok
Add || Hinzufügen || Ajouter || Añadir || Pridať
Below this score this rule is only logged. Empty: use the minimum score above. || Unterhalb dieses Wertes wird diese Regel nur protokolliert. Leer: den Mindestwert oben verwenden. || En dessous de ce score, cette règle est seulement consignée. Vide : utiliser le score minimal ci-dessus. || Por debajo de esta puntuación esta regla solo se registra. Vacío: usar la puntuación mínima de arriba. || Pod týmto skóre sa toto pravidlo len zaznamená. Prázdne: použije sa minimálne skóre vyššie.
Alert only from score || Warnen erst ab Wert || Alerter seulement à partir du score || Alertar solo desde la puntuación || Upozorniť až od skóre
Exceptions ({n}) || Ausnahmen ({n}) || Exceptions ({n}) || Excepciones ({n}) || Výnimky ({n})
Exceptions || Ausnahmen || Exceptions || Excepciones || Výnimky
This rule stays quiet about these devices, device types, tags or networks. For industrial alerts the sending device counts too. || Diese Regel schweigt zu diesen Geräten, Gerätetypen, Tags oder Netzwerken. Bei Industrie-Warnungen zählt auch das sendende Gerät. || Cette règle reste silencieuse pour ces appareils, types d'appareils, étiquettes ou réseaux. Pour les alertes industrielles, l'appareil émetteur compte aussi. || Esta regla no dice nada sobre estos dispositivos, tipos de dispositivo, etiquetas o redes. En las alertas industriales cuenta también el dispositivo emisor. || Toto pravidlo mlčí o týchto zariadeniach, typoch zariadení, štítkoch alebo sieťach. Pri priemyselných upozorneniach sa berie do úvahy aj odosielajúce zariadenie.
Reset every weight, threshold and minimum score to its default? Your exceptions and OT watches are kept. || Alle Gewichte, Schwellenwerte und Mindestwerte auf Standard zurücksetzen? Ihre Ausnahmen und OT-Überwachungen bleiben erhalten. || Rétablir par défaut tous les poids, seuils et scores minimaux ? Vos exceptions et surveillances OT sont conservées. || ¿Restablecer todos los pesos, umbrales y puntuaciones mínimas a sus valores predeterminados? Se conservan sus excepciones y vigilancias OT. || Obnoviť všetky váhy, prahy a minimálne skóre na predvolené? Vaše výnimky a OT sledovania zostanú.
Any write command (registers, coils, tags) || Beliebiger Schreibbefehl (Register, Coils, Tags) || Toute commande d'écriture (registres, bobines, tags) || Cualquier comando de escritura (registros, bobinas, tags) || Ľubovoľný zápisový príkaz (registre, cievky, tagy)
Any control command (stop, start, download, restart) || Beliebiger Steuerbefehl (Stopp, Start, Download, Neustart) || Toute commande de contrôle (arrêt, démarrage, téléchargement, redémarrage) || Cualquier comando de control (parada, arranque, descarga, reinicio) || Ľubovoľný riadiaci príkaz (stop, štart, nahranie, reštart)
Siemens S7: CPU stop || Siemens S7: CPU-Stopp || Siemens S7 : arrêt de la CPU || Siemens S7: parada de la CPU || Siemens S7: zastavenie CPU
Siemens S7: program download || Siemens S7: Programm-Download || Siemens S7 : téléchargement de programme || Siemens S7: descarga de programa || Siemens S7: nahranie programu
Modbus: any write || Modbus: beliebiger Schreibzugriff || Modbus : toute écriture || Modbus: cualquier escritura || Modbus: ľubovoľný zápis
Modbus: diagnostics (restart, listen-only) || Modbus: Diagnose (Neustart, Nur-Hören) || Modbus : diagnostic (redémarrage, écoute seule) || Modbus: diagnóstico (reinicio, solo escucha) || Modbus: diagnostika (reštart, iba počúvanie)
EtherNet/IP: stop or reset || EtherNet/IP: Stopp oder Reset || EtherNet/IP : arrêt ou réinitialisation || EtherNet/IP: parada o reinicio || EtherNet/IP: stop alebo reset
DNP3: restart || DNP3: Neustart || DNP3 : redémarrage || DNP3: reinicio || DNP3: reštart
DNP3: operate (switching) || DNP3: Operate (Schalten) || DNP3 : opération (commutation) || DNP3: operate (maniobra) || DNP3: operate (spínanie)
BACnet: reinitialize device || BACnet: Gerät neu initialisieren || BACnet : réinitialiser l'appareil || BACnet: reinicializar dispositivo || BACnet: reinicializovať zariadenie
IEC 60870-5-104: any command || IEC 60870-5-104: beliebiger Befehl || IEC 60870-5-104 : toute commande || IEC 60870-5-104: cualquier comando || IEC 60870-5-104: ľubovoľný príkaz
any protocol || beliebiges Protokoll || tout protocole || cualquier protocolo || ľubovoľný protokol
any control command || beliebiger Steuerbefehl || toute commande de contrôle || cualquier comando de control || ľubovoľný riadiaci príkaz
