# Setup guide (0.4.0).
Setup guide || Einrichtungsassistent || Assistant de configuration || Guía de configuración || Sprievodca nastavením
Your network || Ihr Netzwerk || Votre réseau || Su red || Vaša sieť
Open Health || Zustand öffnen || Ouvrir Santé || Abrir Estado || Otvoriť Stav
DENIS is watching {interface} ({subnet}) and knows {devices} devices. New devices and destinations are learned for a while (see the banner at the top); after that, anything unusual raises an alert. || DENIS beobachtet {interface} ({subnet}) und kennt {devices} Geräte. Neue Geräte und Ziele werden eine Zeit lang gelernt (siehe das Banner oben); danach löst alles Ungewöhnliche einen Alarm aus. || DENIS surveille {interface} ({subnet}) et connaît {devices} appareils. Les nouveaux appareils et destinations sont appris pendant un temps (voir la bannière en haut) ; ensuite, tout ce qui est inhabituel déclenche une alerte. || DENIS vigila {interface} ({subnet}) y conoce {devices} dispositivos. Los dispositivos y destinos nuevos se aprenden durante un tiempo (véase el aviso de arriba); después, cualquier cosa inusual genera una alerta. || DENIS sleduje {interface} ({subnet}) a pozná {devices} zariadení. Nové zariadenia a ciele sa istý čas učí (pozri lištu hore); potom akákoľvek nezvyčajná vec vyvolá upozornenie.
DENIS has not seen devices yet, or is not capturing. Look at the Health page, and press Scan now (top right) to look around at once. || DENIS hat noch keine Geräte gesehen oder erfasst nichts. Sehen Sie auf der Seite Zustand nach und drücken Sie Jetzt scannen (oben rechts), um sofort nachzusehen. || DENIS n'a pas encore vu d'appareils, ou ne capture rien. Consultez la page Santé et appuyez sur Scanner maintenant (en haut à droite) pour regarder tout de suite. || DENIS aún no ha visto dispositivos o no está capturando. Mire la página Estado y pulse Escanear ahora (arriba a la derecha) para mirar de inmediato. || DENIS zatiaľ nevidel žiadne zariadenia alebo nezachytáva. Pozrite si stránku Stav a stlačte Skenovať teraz (vpravo hore), aby sa hneď poobzeral.
Sign-in security || Anmeldesicherheit || Sécurité de la connexion || Seguridad del inicio de sesión || Bezpečnosť prihlásenia
Every administrator uses a second sign-in step. || Jeder Administrator nutzt einen zweiten Anmeldeschritt. || Chaque administrateur utilise une seconde étape de connexion. || Todos los administradores usan un segundo paso de inicio de sesión. || Každý administrátor používa druhý krok prihlásenia.
{a} of {b} administrators use a passkey or an authenticator app. Add one in My account, and require it for everybody under Settings → Sign-in security. || {a} von {b} Administratoren nutzen einen Passkey oder eine Authenticator-App. Fügen Sie unter Mein Konto einen hinzu und schreiben Sie ihn unter Einstellungen → Anmeldesicherheit für alle vor. || {a} administrateurs sur {b} utilisent une clé d'accès ou une application d'authentification. Ajoutez-en une dans Mon compte et exigez-la pour tous sous Paramètres → Sécurité de la connexion. || {a} de {b} administradores usan una llave de acceso o una aplicación de autenticación. Añada una en Mi cuenta y expíjala a todos en Ajustes → Seguridad del inicio de sesión. || {a} z {b} administrátorov používa passkey alebo autentifikačnú aplikáciu. Pridajte si jednu v Mojom účte a vyžadujte ju od všetkých v Nastavenia → Bezpečnosť prihlásenia.
Be told about alerts || Über Alarme informiert werden || Être prévenu des alertes || Recibir avisos de alertas || Dostávať upozornenia
Open Alerting || Alarmierung öffnen || Ouvrir Alertes sortantes || Abrir Alertas externas || Otvoriť Upozorňovanie
{channels} notification channel(s) and {exports} export(s) are set up. || {channels} Benachrichtigungskanal/-kanäle und {exports} Export(e) eingerichtet. || {channels} canal/canaux de notification et {exports} export(s) configuré(s). || {channels} canal(es) de notificación y {exports} exportación(es) configurados. || Nastavené sú {channels} kanál(y) upozornení a {exports} export(y).
