# Second sign-in step: authenticator app (0.4.0).
the code was not accepted || der Code wurde nicht akzeptiert || le code n'a pas été accepté || no se aceptó el código || kód nebol prijatý
that password is not right || dieses Passwort ist nicht richtig || ce mot de passe n'est pas correct || esa contraseña no es correcta || toto heslo nie je správne
start again: there is no pending set-up || beginnen Sie von vorn: es gibt keine offene Einrichtung || recommencez : aucune configuration n'est en attente || empiece de nuevo: no hay ninguna configuración pendiente || začnite odznova: nie je rozpracované žiadne nastavenie
an authenticator app is already set up: turn it off first || eine Authenticator-App ist bereits eingerichtet: schalten Sie sie zuerst aus || une application d'authentification est déjà configurée : désactivez-la d'abord || ya hay una aplicación de autenticación configurada: desactívela primero || autentifikačná aplikácia je už nastavená: najprv ju vypnite
no authenticator app is set up || es ist keine Authenticator-App eingerichtet || aucune application d'authentification n'est configurée || no hay ninguna aplicación de autenticación configurada || nie je nastavená žiadna autentifikačná aplikácia
your administrator requires a second sign-in step: add a passkey first, then you can turn this off || Ihr Administrator schreibt einen zweiten Anmeldeschritt vor: fügen Sie zuerst einen Passkey hinzu, dann können Sie dies ausschalten || votre administrateur exige une seconde étape de connexion : ajoutez d'abord une clé d'accès, vous pourrez ensuite la désactiver || su administrador exige un segundo paso de inicio de sesión: añada primero una llave de acceso y luego podrá desactivarlo || váš administrátor vyžaduje druhý krok prihlásenia: najprv pridajte passkey, potom to môžete vypnúť
that code is not right: check the time on your phone, then type the next code || dieser Code ist nicht richtig: prüfen Sie die Uhrzeit auf Ihrem Telefon und geben Sie dann den nächsten Code ein || ce code n'est pas correct : vérifiez l'heure de votre téléphone, puis saisissez le code suivant || ese código no es correcto: compruebe la hora de su teléfono y escriba el siguiente código || tento kód nie je správny: skontrolujte čas v telefóne a zadajte nasledujúci kód
the policy must be off, admins or all || die Vorgabe muss off, admins oder all sein || la règle doit être off, admins ou all || la política debe ser off, admins o all || pravidlo musí byť off, admins alebo all
authenticator app || Authenticator-App || application d'authentification || aplicación de autenticación || autentifikačná aplikácia
{n} passkeys || {n} Passkeys || {n} clés d'accès || {n} llaves de acceso || {n} passkeyov
Remove the authenticator app (a lost phone). The person is signed out and can set it up again. || Die Authenticator-App entfernen (verlorenes Telefon). Die Person wird abgemeldet und kann sie neu einrichten. || Supprimer l'application d'authentification (téléphone perdu). La personne est déconnectée et peut la reconfigurer. || Quitar la aplicación de autenticación (teléfono perdido). La persona se desconecta y puede volver a configurarla. || Odstrániť autentifikačnú aplikáciu (stratený telefón). Osoba bude odhlásená a môže ju nastaviť znova.
Reset || Zurücksetzen || Réinitialiser || Restablecer || Obnoviť
Remove the authenticator app of {user}? They will be signed out. || Die Authenticator-App von {user} entfernen? Die Person wird abgemeldet. || Supprimer l'application d'authentification de {user} ? Cette personne sera déconnectée. || ¿Quitar la aplicación de autenticación de {user}? Se desconectará. || Odstrániť autentifikačnú aplikáciu používateľa {user}? Bude odhlásený.
Second step || Zweiter Schritt || Seconde étape || Segundo paso || Druhý krok
Authenticator app || Authenticator-App || Application d'authentification || Aplicación de autenticación || Autentifikačná aplikácia
Code from your authenticator app || Code aus Ihrer Authenticator-App || Code de votre application d'authentification || Código de su aplicación de autenticación || Kód z vašej autentifikačnej aplikácie
Lost your phone? Type one of your recovery codes instead. || Telefon verloren? Geben Sie stattdessen einen Ihrer Wiederherstellungscodes ein. || Téléphone perdu ? Saisissez plutôt un de vos codes de récupération. || ¿Perdió el teléfono? Escriba en su lugar uno de sus códigos de recuperación. || Stratili ste telefón? Zadajte namiesto toho jeden zo svojich záložných kódov.
Start again || Neu beginnen || Recommencer || Empezar de nuevo || Začať znova
Your recovery codes || Ihre Wiederherstellungscodes || Vos codes de récupération || Sus códigos de recuperación || Vaše záložné kódy
Keep these somewhere safe, apart from your phone. Each one signs you in once if you lose the phone. They are shown only now. || Bewahren Sie diese sicher auf, getrennt vom Telefon. Jeder meldet Sie einmal an, falls Sie das Telefon verlieren. Sie werden nur jetzt angezeigt. || Conservez-les en lieu sûr, séparément du téléphone. Chacun vous connecte une fois si vous perdez le téléphone. Ils ne sont affichés que maintenant. || Guárdelos en un lugar seguro, aparte del teléfono. Cada uno le permite entrar una vez si pierde el teléfono. Solo se muestran ahora. || Uschovajte ich na bezpečnom mieste, oddelene od telefónu. Každý vás raz prihlási, ak stratíte telefón. Zobrazia sa iba teraz.
Ask for a 6-digit code from an authenticator app (Google Authenticator, Microsoft Authenticator, Authy, 1Password, Aegis…) as well as your password. Signing in with a passkey already counts as two steps and needs no code. || Zusätzlich zum Passwort einen 6-stelligen Code aus einer Authenticator-App verlangen (Google Authenticator, Microsoft Authenticator, Authy, 1Password, Aegis …). Die Anmeldung mit einem Passkey zählt bereits als zwei Schritte und braucht keinen Code. || Demander un code à 6 chiffres d'une application d'authentification (Google Authenticator, Microsoft Authenticator, Authy, 1Password, Aegis…) en plus du mot de passe. La connexion avec une clé d'accès compte déjà pour deux étapes et n'exige aucun code. || Pedir un código de 6 dígitos de una aplicación de autenticación (Google Authenticator, Microsoft Authenticator, Authy, 1Password, Aegis…) además de la contraseña. Iniciar sesión con una llave de acceso ya cuenta como dos pasos y no pide código. || Vyžadovať okrem hesla 6-miestny kód z autentifikačnej aplikácie (Google Authenticator, Microsoft Authenticator, Authy, 1Password, Aegis…). Prihlásenie cez passkey sa už počíta ako dva kroky a kód nevyžaduje.
Your administrator requires a second sign-in step. || Ihr Administrator schreibt einen zweiten Anmeldeschritt vor. || Votre administrateur exige une seconde étape de connexion. || Su administrador exige un segundo paso de inicio de sesión. || Váš administrátor vyžaduje druhý krok prihlásenia.
An authenticator app is set up. || Eine Authenticator-App ist eingerichtet. || Une application d'authentification est configurée. || Hay una aplicación de autenticación configurada. || Autentifikačná aplikácia je nastavená.
{n} recovery codes left. || Noch {n} Wiederherstellungscodes übrig. || Il reste {n} codes de récupération. || Quedan {n} códigos de recuperación. || Zostáva {n} záložných kódov.
No authenticator app is set up. || Es ist keine Authenticator-App eingerichtet. || Aucune application d'authentification n'est configurée. || No hay ninguna aplicación de autenticación configurada. || Nie je nastavená žiadna autentifikačná aplikácia.
New recovery codes… || Neue Wiederherstellungscodes … || Nouveaux codes de récupération… || Nuevos códigos de recuperación… || Nové záložné kódy…
Turn off… || Ausschalten … || Désactiver… || Desactivar… || Vypnúť…
Set up an authenticator app… || Authenticator-App einrichten … || Configurer une application d'authentification… || Configurar una aplicación de autenticación… || Nastaviť autentifikačnú aplikáciu…
Set up an authenticator app || Authenticator-App einrichten || Configurer une application d'authentification || Configurar una aplicación de autenticación || Nastaviť autentifikačnú aplikáciu
First, your password once more. || Zuerst noch einmal Ihr Passwort. || D'abord, votre mot de passe une fois de plus. || Primero, su contraseña una vez más. || Najprv ešte raz vaše heslo.
Continue || Weiter || Continuer || Continuar || Pokračovať
Open your authenticator app and add an account by scanning this code. || Öffnen Sie Ihre Authenticator-App und fügen Sie ein Konto hinzu, indem Sie diesen Code scannen. || Ouvrez votre application d'authentification et ajoutez un compte en scannant ce code. || Abra su aplicación de autenticación y añada una cuenta escaneando este código. || Otvorte autentifikačnú aplikáciu a pridajte účet naskenovaním tohto kódu.
Then type the 6-digit code the app shows. || Geben Sie dann den 6-stelligen Code ein, den die App anzeigt. || Saisissez ensuite le code à 6 chiffres affiché par l'application. || Después escriba el código de 6 dígitos que muestra la aplicación. || Potom zadajte 6-miestny kód, ktorý aplikácia zobrazí.
QR code for your authenticator app || QR-Code für Ihre Authenticator-App || Code QR pour votre application d'authentification || Código QR para su aplicación de autenticación || QR kód pre vašu autentifikačnú aplikáciu
Cannot scan? Type this key into the app instead: || Scannen nicht möglich? Geben Sie stattdessen diesen Schlüssel in die App ein: || Impossible de scanner ? Saisissez plutôt cette clé dans l'application : || ¿No puede escanear? Escriba esta clave en la aplicación: || Nedá sa naskenovať? Zadajte tento kľúč do aplikácie: 
Code from the app || Code aus der App || Code de l'application || Código de la aplicación || Kód z aplikácie
Turn on || Einschalten || Activer || Activar || Zapnúť
The authenticator app is on. From now on signing in with a password asks for a code. || Die Authenticator-App ist aktiv. Ab jetzt verlangt die Anmeldung mit Passwort einen Code. || L'application d'authentification est activée. Désormais, la connexion par mot de passe demande un code. || La aplicación de autenticación está activada. A partir de ahora, iniciar sesión con contraseña pide un código. || Autentifikačná aplikácia je zapnutá. Odteraz prihlásenie heslom vyžaduje kód.
Turn off the authenticator app || Authenticator-App ausschalten || Désactiver l'application d'authentification || Desactivar la aplicación de autenticación || Vypnúť autentifikačnú aplikáciu
Signing in will need only your password again. Your recovery codes stop working. || Für die Anmeldung genügt wieder nur Ihr Passwort. Ihre Wiederherstellungscodes werden ungültig. || La connexion ne demandera de nouveau que votre mot de passe. Vos codes de récupération cesseront de fonctionner. || Iniciar sesión volverá a necesitar solo su contraseña. Sus códigos de recuperación dejarán de funcionar. || Na prihlásenie bude opäť stačiť iba heslo. Vaše záložné kódy prestanú fungovať.
Turn off || Ausschalten || Désactiver || Desactivar || Vypnúť
The authenticator app is off. || Die Authenticator-App ist ausgeschaltet. || L'application d'authentification est désactivée. || La aplicación de autenticación está desactivada. || Autentifikačná aplikácia je vypnutá.
New recovery codes || Neue Wiederherstellungscodes || Nouveaux codes de récupération || Nuevos códigos de recuperación || Nové záložné kódy
The codes you have now stop working. Your password and a current code from the app are needed. || Die jetzigen Codes werden ungültig. Ihr Passwort und ein aktueller Code aus der App sind nötig. || Les codes actuels cesseront de fonctionner. Votre mot de passe et un code actuel de l'application sont nécessaires. || Los códigos actuales dejarán de funcionar. Se necesitan su contraseña y un código actual de la aplicación. || Súčasné kódy prestanú fungovať. Potrebné je vaše heslo a aktuálny kód z aplikácie.
Make new codes || Neue Codes erstellen || Créer de nouveaux codes || Crear nuevos códigos || Vytvoriť nové kódy
Set up a second sign-in step || Zweiten Anmeldeschritt einrichten || Configurer une seconde étape de connexion || Configurar un segundo paso de inicio de sesión || Nastaviť druhý krok prihlásenia
Your administrator requires a second step for signing in. Set one up now: an authenticator app on your phone, or a passkey. || Ihr Administrator schreibt einen zweiten Schritt für die Anmeldung vor. Richten Sie ihn jetzt ein: eine Authenticator-App auf Ihrem Telefon oder einen Passkey. || Votre administrateur exige une seconde étape pour la connexion. Configurez-la maintenant : une application d'authentification sur votre téléphone, ou une clé d'accès. || Su administrador exige un segundo paso para iniciar sesión. Configúrelo ahora: una aplicación de autenticación en su teléfono o una llave de acceso. || Váš administrátor vyžaduje druhý krok prihlásenia. Nastavte ho teraz: autentifikačnú aplikáciu v telefóne alebo passkey.
Nobody || Niemand || Personne || Nadie || Nikto
Administrators || Administratoren || Administrateurs || Administradores || Administrátori
Everybody || Alle || Tout le monde || Todos || Všetci
{n} people have no second step yet. At their next request they are asked to set one up before anything else works. || {n} Personen haben noch keinen zweiten Schritt. Bei ihrer nächsten Anfrage werden sie aufgefordert, einen einzurichten, bevor irgendetwas anderes funktioniert. || {n} personnes n'ont pas encore de seconde étape. À leur prochaine requête, elles doivent en configurer une avant que quoi que ce soit d'autre ne fonctionne. || {n} personas aún no tienen segundo paso. En su próxima solicitud se les pedirá configurarlo antes de que funcione cualquier otra cosa. || {n} ľudí zatiaľ nemá druhý krok. Pri ďalšej požiadavke budú vyzvaní, aby si ho nastavili, skôr než čokoľvek iné bude fungovať.
A second sign-in step is an authenticator app or a passkey. Signing in with a passkey already counts. Whoever is required to have one is asked to set it up at their next request. || Ein zweiter Anmeldeschritt ist eine Authenticator-App oder ein Passkey. Die Anmeldung mit einem Passkey zählt bereits. Wer einen haben muss, wird bei der nächsten Anfrage aufgefordert, ihn einzurichten. || Une seconde étape de connexion est une application d'authentification ou une clé d'accès. La connexion par clé d'accès compte déjà. Toute personne qui doit en avoir une est invitée à la configurer à sa prochaine requête. || Un segundo paso de inicio de sesión es una aplicación de autenticación o una llave de acceso. Iniciar sesión con una llave de acceso ya cuenta. A quien se le exija se le pedirá configurarlo en su próxima solicitud. || Druhý krok prihlásenia je autentifikačná aplikácia alebo passkey. Prihlásenie cez passkey sa už počíta. Kto ho má mať povinne, bude pri ďalšej požiadavke vyzvaný, aby si ho nastavil.
Required for || Vorgeschrieben für || Exigée pour || Exigido para || Povinné pre
