Name || Name || Nom || Nombre || Názov
Icon || Symbol || Icône || Icono || Ikona
Device type || Gerätetyp || Type d'appareil || Tipo de dispositivo || Typ zariadenia
Zone / cell || Zone / Zelle || Zone / cellule || Zona / celda || Zóna / bunka
Purdue level (OT) || Purdue-Ebene (OT) || Niveau Purdue (OT) || Nivel Purdue (OT) || Úroveň Purdue (OT)
Operating system || Betriebssystem || Système d'exploitation || Sistema operativo || Operačný systém
Purchase date || Kaufdatum || Date d'achat || Fecha de compra || Dátum nákupu
Price || Preis || Prix || Precio || Cena
Silence notifications until || Benachrichtigungen stumm bis || Suspendre les notifications jusqu'au || Silenciar notificaciones hasta || Stíšiť upozornenia do
Tags (comma separated) || Tags (durch Komma getrennt) || Étiquettes (séparées par des virgules) || Etiquetas (separadas por comas) || Štítky (oddelené čiarkou)
Change… || Ändern … || Modifier… || Cambiar… || Zmeniť…
filter icons… || Symbole filtern … || filtrer les icônes… || filtrar iconos… || filtrovať ikony…
automatic ({icon}) || automatisch ({icon}) || automatique ({icon}) || automático ({icon}) || automaticky ({icon})
auto || auto || auto || auto || auto
automatic || automatisch || automatique || automático || automaticky
Close || Schließen || Fermer || Cerrar || Zavrieť
aa:bb:cc:dd:ee:ff (leave empty if unknown) || aa:bb:cc:dd:ee:ff (leer lassen, wenn unbekannt) || aa:bb:cc:dd:ee:ff (laisser vide si inconnue) || aa:bb:cc:dd:ee:ff (dejar vacío si se desconoce) || aa:bb:cc:dd:ee:ff (ak nie je známa, nechajte prázdne)
MAC address || MAC-Adresse || Adresse MAC || Dirección MAC || MAC adresa
field name || Feldname || nom du champ || nombre del campo || názov poľa
value || Wert || valeur || valor || hodnota
Remove || Entfernen || Retirer || Quitar || Odstrániť
Custom fields || Eigene Felder || Champs personnalisés || Campos personalizados || Vlastné polia
+ Add field || + Feld hinzufügen || + Ajouter un champ || + Añadir campo || + Pridať pole
Add asset || Gerät hinzufügen || Ajouter un appareil || Añadir dispositivo || Pridať zariadenie
Delete "{name}"? This removes the record and its history. || „{name}“ löschen? Damit werden der Eintrag und sein Verlauf entfernt. || Supprimer « {name} » ? Cela supprime la fiche et son historique. || ¿Eliminar «{name}»? Se borrarán el registro y su historial. || Odstrániť „{name}“? Odstráni sa záznam aj jeho história.
Could not delete || Löschen nicht möglich || Suppression impossible || No se pudo eliminar || Nepodarilo sa odstrániť
Import || Import || Importer || Importar || Import
That file is larger than 5 MB. || Die Datei ist größer als 5 MB. || Ce fichier dépasse 5 Mo. || Ese archivo supera los 5 MB. || Súbor je väčší ako 5 MB.
Import failed || Import fehlgeschlagen || Échec de l'import || Falló la importación || Import zlyhal
Import finished || Import abgeschlossen || Import terminé || Importación terminada || Import dokončený
{created} created, {updated} updated, {unchanged} unchanged, {problems} row(s) with problems. || {created} erstellt, {updated} aktualisiert, {unchanged} unverändert, {problems} Zeile(n) mit Problemen. || {created} créé(s), {updated} mis à jour, {unchanged} inchangé(s), {problems} ligne(s) avec problèmes. || {created} creados, {updated} actualizados, {unchanged} sin cambios, {problems} fila(s) con problemas. || {created} vytvorených, {updated} aktualizovaných, {unchanged} nezmenených, {problems} riadkov s problémom.
line {line}: {error} || Zeile {line}: {error} || ligne {line} : {error} || línea {line}: {error} || riadok {line}: {error}
Columns: mac (required), plus any of the editable fields, tags (separated by ;), and custom.<name>. Empty cells leave a value unchanged. Tip: export the devices CSV, edit it in a spreadsheet, and import it back. || Spalten: mac (Pflicht), dazu beliebige bearbeitbare Felder, tags (durch ; getrennt) und custom.<Name>. Leere Zellen lassen einen Wert unverändert. Tipp: Geräte-CSV exportieren, in einer Tabellenkalkulation bearbeiten und wieder importieren. || Colonnes : mac (obligatoire), plus n'importe quel champ modifiable, tags (séparés par ;) et custom.<nom>. Une cellule vide laisse la valeur inchangée. Astuce : exportez le CSV des appareils, modifiez-le dans un tableur, puis réimportez-le. || Columnas: mac (obligatoria), más cualquiera de los campos editables, tags (separadas por ;) y custom.<nombre>. Las celdas vacías dejan el valor sin cambios. Consejo: exporte el CSV de dispositivos, edítelo en una hoja de cálculo e impórtelo de nuevo. || Stĺpce: mac (povinný), ďalej ľubovoľné upraviteľné polia, tags (oddelené znakom ;) a custom.<názov>. Prázdne bunky nechajú hodnotu nezmenenú. Tip: exportujte CSV zariadení, upravte ho v tabuľke a importujte späť.
(you) || (Sie) || (vous) || (usted) || (vy)
Could not change role || Rolle konnte nicht geändert werden || Impossible de changer le rôle || No se pudo cambiar el rol || Rolu sa nepodarilo zmeniť
disabled || deaktiviert || désactivé || desactivado || zakázaný
must change password || muss Passwort ändern || doit changer de mot de passe || debe cambiar la contraseña || musí zmeniť heslo
active || aktiv || actif || activo || aktívny
never || nie || jamais || nunca || nikdy
Enable || Aktivieren || Activer || Activar || Povoliť
Disable || Deaktivieren || Désactiver || Desactivar || Zakázať
Could not update user || Benutzer konnte nicht aktualisiert werden || Impossible de mettre à jour l'utilisateur || No se pudo actualizar el usuario || Používateľa sa nepodarilo aktualizovať
Reset password || Passwort zurücksetzen || Réinitialiser le mot de passe || Restablecer contraseña || Obnoviť heslo
Reset the password of {user}? They will be signed out. || Passwort von {user} zurücksetzen? Die Person wird abgemeldet. || Réinitialiser le mot de passe de {user} ? Cette personne sera déconnectée. || ¿Restablecer la contraseña de {user}? Se cerrará su sesión. || Obnoviť heslo používateľa {user}? Bude odhlásený.
New temporary password for {user} || Neues temporäres Passwort für {user} || Nouveau mot de passe temporaire pour {user} || Nueva contraseña temporal para {user} || Nové dočasné heslo pre {user}
Give this to the user. It works once and must be changed at sign-in. || Geben Sie es dem Benutzer. Es gilt nur einmal und muss bei der Anmeldung geändert werden. || Communiquez-le à l'utilisateur. Il ne fonctionne qu'une fois et doit être changé à la connexion. || Entréguela al usuario. Sirve una sola vez y debe cambiarse al iniciar sesión. || Odovzdajte ho používateľovi. Funguje raz a pri prihlásení sa musí zmeniť.
Could not reset || Zurücksetzen nicht möglich || Réinitialisation impossible || No se pudo restablecer || Obnovenie sa nepodarilo
Could not add user || Benutzer konnte nicht hinzugefügt werden || Impossible d'ajouter l'utilisateur || No se pudo añadir el usuario || Používateľa sa nepodarilo pridať
User created: {user} || Benutzer angelegt: {user} || Utilisateur créé : {user} || Usuario creado: {user} || Používateľ vytvorený: {user}
Give them this one-time password. They must change it at first sign-in. || Geben Sie ihm dieses Einmalpasswort. Es muss bei der ersten Anmeldung geändert werden. || Communiquez-lui ce mot de passe à usage unique. Il doit le changer à la première connexion. || Entréguele esta contraseña de un solo uso. Debe cambiarla en el primer inicio de sesión. || Odovzdajte mu toto jednorazové heslo. Pri prvom prihlásení ho musí zmeniť.
revoked || widerrufen || révoqué || revocado || zrušený
Revoke || Widerrufen || Révoquer || Revocar || Zrušiť
Revoke the token of {agent}? The agent will be disconnected. || Token von {agent} widerrufen? Der Agent wird getrennt. || Révoquer le jeton de {agent} ? L'agent sera déconnecté. || ¿Revocar el token de {agent}? El agente se desconectará. || Zrušiť token agenta {agent}? Agent sa odpojí.
Could not revoke || Widerrufen nicht möglich || Révocation impossible || No se pudo revocar || Zrušenie sa nepodarilo
Could not issue token || Token konnte nicht ausgestellt werden || Impossible d'émettre le jeton || No se pudo emitir el token || Token sa nepodarilo vydať
Token for agent {agent} || Token für Agent {agent} || Jeton pour l'agent {agent} || Token para el agente {agent} || Token pre agenta {agent}
Shown only once. Any earlier token for this agent has been revoked. || Wird nur einmal angezeigt. Frühere Token dieses Agenten wurden widerrufen. || Affiché une seule fois. Tout jeton précédent de cet agent a été révoqué. || Se muestra una sola vez. Cualquier token anterior de este agente se ha revocado. || Zobrazí sa iba raz. Všetky skoršie tokeny tohto agenta boli zrušené.
On the agent: || Auf dem Agenten: || Sur l'agent : || En el agente: || Na agentovi:
