# v1.14.0/1.14.1: Topology label decluttering, custom CVEs, live CISA/NVD refresh, agent CA-as-text,
# data retention (ui/app.js, ui/admin.js, ui/switches.js, ui/vuln.js, ui/index.html, ui/rules.js).
Devices offline || Geräte offline || Appareils hors ligne || Dispositivos fuera de línea || Zariadenia offline
Devices in the register || Geräte im Register || Appareils dans le registre || Dispositivos en el registro || Zariadenia v registri
Total traffic || Gesamter Datenverkehr || Trafic total || Tráfico total || Celková premávka
Expand all || Alle ausklappen || Tout développer || Expandir todo || Rozbaliť všetko
Collapse all || Alle einklappen || Tout réduire || Contraer todo || Zbaliť všetko
The known-exploited list (CISA) and its affected versions (NVD) come with new versions of DENIS, or can be refreshed live below. Refreshing the support dates contacts endoflife.date and sends nothing about your network. || Die Liste bekannt ausgenutzter Schwachstellen (CISA) und ihrer betroffenen Versionen (NVD) kommt mit neuen DENIS-Versionen, oder kann unten live aktualisiert werden. Das Aktualisieren der Support-Daten kontaktiert endoflife.date und sendet nichts über Ihr Netzwerk. || La liste des vulnérabilités activement exploitées (CISA) et de leurs versions concernées (NVD) arrive avec les nouvelles versions de DENIS, ou peut être actualisée en direct ci-dessous. L'actualisation des dates de support contacte endoflife.date et n'envoie rien sur votre réseau. || La lista de vulnerabilidades de explotación conocida (CISA) y sus versiones afectadas (NVD) llega con las nuevas versiones de DENIS, o puede actualizarse en vivo más abajo. Actualizar las fechas de soporte contacta con endoflife.date y no envía nada sobre su red. || Zoznam známych zneužívaných zraniteľností (CISA) a ich ovplyvnených verzií (NVD) prichádza s novými verziami DENIS, alebo sa dá obnoviť naživo nižšie. Obnovenie dátumov podpory kontaktuje endoflife.date a neposiela nič o vašej sieti.
Known-exploited vulnerabilities from CISA + NVD || Bekannt ausgenutzte Schwachstellen von CISA + NVD || Vulnérabilités activement exploitées de CISA + NVD || Vulnerabilidades de explotación conocida de CISA + NVD || Známe zneužívané zraniteľnosti z CISA + NVD
Fetch the current CISA Known Exploited Vulnerabilities catalog, look up each match's affected version range on NVD, and its exploitation-probability score from FIRST.org EPSS. Only entries for software DENIS can recognise from a banner are kept, and only when NVD gives a clean version range — nothing is guessed. Nothing about your network is sent to any of the three. || Ruft den aktuellen CISA-Katalog bekannt ausgenutzter Schwachstellen ab, schlägt für jeden Treffer den betroffenen Versionsbereich bei NVD nach, sowie die Ausnutzungswahrscheinlichkeit von FIRST.org EPSS. Nur Einträge für Software, die DENIS aus einem Banner erkennen kann, werden behalten, und nur wenn NVD einen eindeutigen Versionsbereich liefert — nichts wird geraten. Nichts über Ihr Netzwerk wird an eine der drei Seiten gesendet. || Récupère le catalogue actuel des vulnérabilités activement exploitées de la CISA, recherche pour chaque correspondance sa plage de versions concernées sur NVD, ainsi que son score de probabilité d'exploitation de FIRST.org EPSS. Seules les entrées pour un logiciel que DENIS peut reconnaître à partir d'une bannière sont conservées, et seulement quand NVD donne une plage de versions nette — rien n'est deviné. Rien sur votre réseau n'est envoyé à aucun des trois. || Obtiene el catálogo actual de vulnerabilidades de explotación conocida de CISA, busca para cada coincidencia su rango de versiones afectadas en NVD, y su puntuación de probabilidad de explotación de FIRST.org EPSS. Solo se conservan las entradas de software que DENIS puede reconocer desde un anuncio, y solo cuando NVD da un rango de versiones limpio — no se adivina nada. No se envía nada sobre su red a ninguno de los tres. || Stiahne aktuálny CISA katalóg známych zneužívaných zraniteľností, pre každú zhodu vyhľadá jej ovplyvnený rozsah verzií na NVD a jej skóre pravdepodobnosti zneužitia z FIRST.org EPSS. Ponechajú sa len záznamy pre softvér, ktorý DENIS vie rozpoznať z banneru, a len keď NVD dá čistý rozsah verzií — nič sa neodhaduje. Nič o vašej sieti sa neposiela žiadnej z týchto troch strán.
{n} known-exploited vulnerabilities from a live refresh {ago}{v}. || {n} bekannt ausgenutzte Schwachstellen aus einer Live-Aktualisierung {ago}{v}. || {n} vulnérabilités activement exploitées d'une actualisation en direct {ago}{v}. || {n} vulnerabilidades de explotación conocida de una actualización en vivo {ago}{v}. || {n} známych zneužívaných zraniteľností zo živého obnovenia {ago}{v}.
catalog || Katalog || catalogue || catálogo || katalóg
Not refreshed yet — the {k} known-exploited vulnerabilities above are the ones that shipped with this version of DENIS. || Noch nicht aktualisiert — die {k} bekannt ausgenutzten Schwachstellen oben sind die, die mit dieser DENIS-Version ausgeliefert wurden. || Pas encore actualisé — les {k} vulnérabilités activement exploitées ci-dessus sont celles fournies avec cette version de DENIS. || Aún no actualizado — las {k} vulnerabilidades de explotación conocida de arriba son las que vinieron con esta versión de DENIS. || Zatiaľ neobnovené — {k} známych zneužívaných zraniteľností vyššie sú tie, ktoré prišli s touto verziou DENIS.
Refresh from CISA + NVD every week || Jede Woche von CISA + NVD aktualisieren || Actualiser depuis CISA + NVD chaque semaine || Actualizar desde CISA + NVD cada semana || Obnovovať z CISA + NVD každý týždeň
Update now || Jetzt aktualisieren || Mettre à jour maintenant || Actualizar ahora || Aktualizovať teraz
Fetching… this can take a minute or two (NVD is rate-limited per CVE). || Wird abgerufen … das kann ein bis zwei Minuten dauern (NVD ist pro CVE ratenbegrenzt). || Récupération… cela peut prendre une minute ou deux (NVD est limité en débit par CVE). || Obteniendo… esto puede tardar uno o dos minutos (NVD tiene un límite de tasa por CVE). || Sťahujem… toto môže trvať minútu až dve (NVD má limit rýchlosti na jedno CVE).
Matched {n}. || {n} gefunden. || {n} correspondance(s). || {n} coincidencia(s). || Zhoda: {n}.
{n} skipped (no clean version range or unreachable). || {n} übersprungen (kein eindeutiger Versionsbereich oder nicht erreichbar). || {n} ignorée(s) (pas de plage de versions nette ou injoignable). || {n} omitida(s) (sin rango de versiones limpio o inaccesible). || {n} preskočených (žiadny čistý rozsah verzií alebo nedostupné).
Start DENIS with --flows, and if this traffic does not cross {iface}, add its interface as a mirror interface under Settings → Network interfaces. || Starten Sie DENIS mit --flows, und falls dieser Datenverkehr nicht über {iface} läuft, fügen Sie dessen Schnittstelle unter Einstellungen → Netzwerkschnittstellen als Spiegelschnittstelle hinzu. || Démarrez DENIS avec --flows, et si ce trafic ne passe pas par {iface}, ajoutez son interface comme interface miroir dans Paramètres → Interfaces réseau. || Inicie DENIS con --flows y, si este tráfico no pasa por {iface}, añada su interfaz como interfaz espejo en Ajustes → Interfaces de red. || Spustite DENIS s --flows, a ak táto premávka neprechádza cez {iface}, pridajte jej rozhranie ako mirror interface v Nastavenia → Sieťové rozhrania.
the discovery interface || die Discovery-Schnittstelle || l'interface de découverte || la interfaz de descubrimiento || discovery rozhranie
not currently running: {fix} || derzeit nicht aktiv: {fix} || actuellement inactif : {fix} || actualmente inactivo: {fix} || momentálne nebeží: {fix}
Traffic analysis on a mirror port is not currently running: this watch is saved but will not fire until it is. || Die Datenverkehrsanalyse auf einem Spiegelport läuft derzeit nicht: Diese Überwachung ist gespeichert, löst aber erst aus, wenn sie läuft. || L'analyse du trafic sur un port miroir n'est pas active actuellement : cette surveillance est enregistrée mais ne se déclenchera pas tant qu'elle ne l'est pas. || El análisis de tráfico en un puerto espejo no está activo actualmente: esta vigilancia se guarda pero no se activará hasta que lo esté. || Analýza premávky na mirror porte momentálne nebeží: toto sledovanie je uložené, ale nespustí sa, kým nebude bežať.
Traffic analysis (--flows) is not currently running: this watch is saved but will not fire until it is. || Die Datenverkehrsanalyse (--flows) läuft derzeit nicht: Diese Überwachung ist gespeichert, löst aber erst aus, wenn sie läuft. || L'analyse du trafic (--flows) n'est pas active actuellement : cette surveillance est enregistrée mais ne se déclenchera pas tant qu'elle ne l'est pas. || El análisis de tráfico (--flows) no está activo actualmente: esta vigilancia se guarda pero no se activará hasta que lo esté. || Analýza premávky (--flows) momentálne nebeží: toto sledovanie je uložené, ale nespustí sa, kým nebude bežať.
Too many devices to label here without overlapping text: point at one for its name, or click it to open it. || Zu viele Geräte, um sie hier ohne überlappenden Text zu beschriften: auf eines zeigen, um den Namen zu sehen, oder anklicken, um es zu öffnen. || Trop d'appareils pour les nommer ici sans que le texte se chevauche : pointez-en un pour voir son nom, ou cliquez pour l'ouvrir. || Demasiados dispositivos para etiquetarlos aquí sin que el texto se superponga: señale uno para ver su nombre, o haga clic para abrirlo. || Príliš veľa zariadení na to, aby sa dali popísať bez prekrývania textu: prejdite myšou nad niektorým pre jeho názov, alebo naň kliknite pre otvorenie.
New devices || Neue Geräte || Nouveaux appareils || Dispositivos nuevos || Nové zariadenia
Received || Empfangen || Reçu || Recibido || Prijaté
{n} of {total} in place || {n} von {total} umgesetzt || {n} sur {total} en place || {n} de {total} implementados || {n} z {total} zavedených
Delete the revoked key of {agent}? This cannot be undone. || Den widerrufenen Schlüssel von {agent} löschen? Das kann nicht rückgängig gemacht werden. || Supprimer la clé révoquée de {agent} ? Cette action est irréversible. || ¿Eliminar la clave revocada de {agent}? Esto no se puede deshacer. || Vymazať odvolaný kľúč agenta {agent}? Toto sa nedá vrátiť späť.
Delete the revoked token "{label}"? This cannot be undone. || Den widerrufenen Token "{label}" löschen? Das kann nicht rückgängig gemacht werden. || Supprimer le jeton révoqué « {label} » ? Cette action est irréversible. || ¿Eliminar el token revocado "{label}"? Esto no se puede deshacer. || Vymazať odvolaný token "{label}"? Toto sa nedá vrátiť späť.
Could not read the CA certificate. || Das CA-Zertifikat konnte nicht gelesen werden. || Impossible de lire le certificat de l'autorité de certification. || No se pudo leer el certificado de la CA. || Certifikát CA sa nepodarilo prečítať.
Copied. Use it as --master-ca-pem or DENIS_MASTER_CA_PEM on each agent. || Kopiert. Auf jedem Agenten als --master-ca-pem oder DENIS_MASTER_CA_PEM verwenden. || Copié. Utilisez-le comme --master-ca-pem ou DENIS_MASTER_CA_PEM sur chaque agent. || Copiado. Úselo como --master-ca-pem o DENIS_MASTER_CA_PEM en cada agente. || Skopírované. Použite ho ako --master-ca-pem alebo DENIS_MASTER_CA_PEM na každom agentovi.
CA certificate || CA-Zertifikat || Certificat de l'autorité || Certificado de la CA || Certifikát CA
Copy this for --master-ca-pem / DENIS_MASTER_CA_PEM: || Dies für --master-ca-pem / DENIS_MASTER_CA_PEM kopieren: || Copiez ceci pour --master-ca-pem / DENIS_MASTER_CA_PEM : || Copie esto para --master-ca-pem / DENIS_MASTER_CA_PEM: || Toto skopírujte pre --master-ca-pem / DENIS_MASTER_CA_PEM:
The ports read fine, but this switch gave back no forwarding table (MAC-to-port) and no LLDP neighbours, so nothing can be drawn on it yet. Some inexpensive "smart" switches do not implement this over SNMP at all; others need a different SNMP community for it, or LLDP switched on in their own settings. The port list below (up/down, name) is still whatever this switch offers. || Die Ports wurden korrekt gelesen, aber dieser Switch hat weder eine Weiterleitungstabelle (MAC-zu-Port) noch LLDP-Nachbarn geliefert, daher kann hier noch nichts gezeichnet werden. Manche günstigen "Smart"-Switches unterstützen das über SNMP gar nicht; andere brauchen dafür eine andere SNMP-Community oder müssen LLDP in ihren eigenen Einstellungen aktivieren. Die Portliste unten (auf/ab, Name) zeigt trotzdem, was dieser Switch bietet. || Les ports ont bien été lus, mais ce commutateur n'a renvoyé ni table de commutation (MAC-port) ni voisins LLDP : rien ne peut donc encore être dessiné ici. Certains commutateurs « intelligents » bon marché ne l'implémentent pas du tout via SNMP ; d'autres ont besoin d'une communauté SNMP différente, ou de LLDP activé dans leurs propres réglages. La liste des ports ci-dessous (actif/inactif, nom) reste néanmoins ce que ce commutateur peut offrir. || Los puertos se leyeron bien, pero este switch no devolvió tabla de reenvío (MAC a puerto) ni vecinos LLDP, así que todavía no se puede dibujar nada aquí. Algunos switches "inteligentes" económicos no lo implementan por SNMP en absoluto; otros necesitan una comunidad SNMP distinta, o LLDP activado en su propia configuración. La lista de puertos de abajo (activo/inactivo, nombre) sigue mostrando lo que este switch ofrece. || Porty sa načítali v poriadku, ale tento switch nevrátil žiadnu tabuľku preposielania (MAC-port) ani LLDP susedov, takže sa tu zatiaľ nedá nič nakresliť. Niektoré lacnejšie "smart" switche toto cez SNMP vôbec nepodporujú; iné potrebujú inú SNMP komunitu, alebo zapnuté LLDP vo vlastných nastaveniach. Zoznam portov nižšie (hore/dole, názov) je stále to, čo tento switch ponúka.
Custom CVEs || Vlastné CVE || CVE personnalisées || CVE personalizadas || Vlastné CVE
Add a known-exploited vulnerability of your own — for software DENIS does not ship data for yet, or one you want flagged sooner. Matched against service banners exactly like the built-in list, above. || Fügen Sie eine eigene bekannt ausgenutzte Schwachstelle hinzu — für Software, für die DENIS noch keine Daten mitliefert, oder die Sie früher gemeldet haben möchten. Wird genau wie die eingebaute Liste oben gegen Dienst-Banner abgeglichen. || Ajoutez votre propre vulnérabilité activement exploitée — pour un logiciel dont DENIS n'a pas encore les données, ou que vous voulez signaler plus tôt. Comparé aux bannières de service exactement comme la liste intégrée ci-dessus. || Añada su propia vulnerabilidad de explotación conocida — para software del que DENIS aún no trae datos, o que quiera que se marque antes. Se compara con los anuncios de servicio igual que la lista integrada de arriba. || Pridajte vlastnú známu zneužívanú zraniteľnosť — pre softvér, ku ktorému DENIS ešte nemá dáta, alebo ktorú chcete nahlásiť skôr. Porovnáva sa voči service bannerom presne ako vstavaný zoznam vyššie.
Add a custom CVE… || Pridať vlastné CVE… || Ajouter une CVE personnalisée… || Añadir una CVE personalizada… || Pridať vlastné CVE…
No custom CVEs yet. || Noch keine eigenen CVEs. || Aucune CVE personnalisée pour l'instant. || Aún no hay CVE personalizadas. || Zatiaľ žiadne vlastné CVE.
CVE || CVE || CVE || CVE || CVE
Product || Produkt || Produit || Producto || Produkt
Affected versions || Betroffene Versionen || Versions concernées || Versiones afectadas || Ovplyvnené verzie
Delete the custom entry for {cve}? || Den eigenen Eintrag für {cve} löschen? || Supprimer l'entrée personnalisée pour {cve} ? || ¿Eliminar la entrada personalizada de {cve}? || Vymazať vlastný záznam pre {cve}?
Short name || Kurzname || Nom court || Nombre corto || Krátky názov
Exactly this version || Genau diese Version || Exactement cette version || Exactamente esta versión || Presne táto verzia
A range of versions || Ein Versionsbereich || Une plage de versions || Un rango de versiones || Rozsah verzií
from, e.g. 3.0.0 || von, z. B. 3.0.0 || de, par ex. 3.0.0 || desde, p. ej. 3.0.0 || od, napr. 3.0.0
to, e.g. 3.0.9 || bis, z. B. 3.0.9 || à, par ex. 3.0.9 || hasta, p. ej. 3.0.9 || do, napr. 3.0.9
To || Bis || À || Hasta || Do
Add a custom CVE || Vlastné CVE pridať || Ajouter une CVE personnalisée || Añadir una CVE personalizada || Pridať vlastné CVE
CVE id || CVE-ID || Identifiant CVE || ID de CVE || CVE ID
Added/published || Hinzugefügt/veröffentlicht || Ajouté/publié || Añadido/publicado || Pridané/zverejnené
Choose a product. || Produkt auswählen. || Choisissez un produit. || Elija un producto. || Vyberte produkt.
Data retention || Datenaufbewahrung || Conservation des données || Retención de datos || Retencia dát
Copy for --master-ca-pem || Für --master-ca-pem kopieren || Copier pour --master-ca-pem || Copiar para --master-ca-pem || Kopírovať pre --master-ca-pem
For more than a couple of agents, this is usually simpler than copying the CA file to every machine: paste it as one value, e.g. DENIS_MASTER_CA_PEM, wherever you already push each agent's token. || Bei mehr als ein paar Agenten ist das meist einfacher, als die CA-Datei auf jede Maschine zu kopieren: einfach als einzelnen Wert einfügen, z. B. DENIS_MASTER_CA_PEM, überall dort, wo bereits der Token jedes Agenten verteilt wird. || Pour plus de deux ou trois agents, c'est généralement plus simple que de copier le fichier de l'autorité sur chaque machine : collez-le comme une seule valeur, par ex. DENIS_MASTER_CA_PEM, partout où le jeton de chaque agent est déjà déployé. || Para más de un par de agentes, esto suele ser más simple que copiar el archivo de la CA a cada máquina: péguelo como un único valor, p. ej. DENIS_MASTER_CA_PEM, donde ya distribuya el token de cada agente. || Pri viac ako pár agentoch je toto zvyčajne jednoduchšie než kopírovať CA súbor na každý stroj: vložte ho ako jednu hodnotu, napr. DENIS_MASTER_CA_PEM, kdekoľvek už distribuujete token každého agenta.
How long events, alerts and trend samples are kept before DENIS deletes them on its own. The asset register itself is never affected. Applies within the hour, no restart. || Wie lange Ereignisse, Alarme und Trendmesswerte aufbewahrt werden, bevor DENIS sie selbst löscht. Das Anlagenregister selbst ist davon nie betroffen. Wirkt innerhalb einer Stunde, kein Neustart nötig. || Combien de temps les événements, alertes et échantillons de tendance sont conservés avant que DENIS ne les supprime lui-même. Le registre des actifs lui-même n'est jamais concerné. Prend effet dans l'heure, sans redémarrage. || Cuánto tiempo se conservan los eventos, alertas y muestras de tendencias antes de que DENIS los elimine por sí solo. El registro de activos en sí nunca se ve afectado. Surte efecto en una hora, sin reiniciar. || Ako dlho sa uchovávajú eventy, alerty a vzorky trendov, kým ich DENIS sám nevymaže. Register zariadení samotný nie je nikdy ovplyvnený. Prejaví sa do hodiny, bez reštartu.
Keep data for || Uchovávať dáta || Conserver les données pendant || Conservar los datos durante || Uchovávať dáta
