# Rules page: "Restart learning mode" (network-wide, 1-7 days, pause/resume/end).
Restart learning mode || Lernmodus neu starten || Redémarrer le mode apprentissage || Reiniciar el modo de aprendizaje || Reštartovať učiaci režim
After a change big enough that the existing baselines no longer make a fair comparison (a new switch, a re-addressed subnet, a batch of new devices), restart learning for every device at once: nothing anywhere alerts for the time you choose, the same treatment a brand new device already gets. || Nach einer Änderung, die so groß ist, dass die bestehenden Baselines keinen fairen Vergleich mehr bieten (ein neuer Switch, ein neu adressiertes Subnetz, viele neue Geräte auf einmal), starten Sie das Lernen für alle Geräte gleichzeitig neu: Für die gewählte Zeit meldet sich nirgendwo etwas — genau wie bei einem brandneuen Gerät. || Après un changement assez important pour que les références existantes ne soient plus une comparaison juste (un nouveau switch, un sous-réseau réadressé, un lot de nouveaux appareils), redémarrez l'apprentissage pour tous les appareils à la fois : rien nulle part n'alerte pendant la durée choisie, le même traitement qu'un appareil tout neuf reçoit déjà. || Tras un cambio lo bastante grande como para que las líneas base existentes ya no sean una comparación justa (un switch nuevo, una subred re-direccionada, un lote de dispositivos nuevos), reinicie el aprendizaje para todos los dispositivos a la vez: nada alerta en ningún sitio durante el tiempo que elija, el mismo trato que ya recibe un dispositivo recién llegado. || Po zmene dosť veľkej na to, aby existujúce základné profily už neboli spravodlivým porovnaním (nový switch, prečíslovaná podsieť, dávka nových zariadení), reštartujte učenie pre všetky zariadenia naraz: počas zvoleného času nikde nič neupozorní — rovnaké zaobchádzanie, aké už dostáva úplne nové zariadenie.
For || Na || Pendant || Durante || Na
Learning mode is running || Lernmodus läuft || Le mode apprentissage est en cours || El modo de aprendizaje está activo || Učiaci režim beží
paused || pausiert || en pause || en pausa || pozastavené
Paused with {remaining} left; nothing resumes counting down until you resume it. Nothing alerts anywhere while it is paused, either. || Pausiert, {remaining} verbleiben; der Countdown läuft erst nach dem Fortsetzen weiter. Auch während der Pause meldet sich nirgendwo etwas. || En pause, il reste {remaining} ; le compte à rebours ne reprend qu'à la reprise. Rien n'alerte nulle part non plus pendant la pause. || En pausa, quedan {remaining}; la cuenta atrás no sigue hasta que la reanude. Tampoco alerta nada en ningún sitio mientras está en pausa. || Pozastavené, zostáva {remaining}; odpočítavanie pokračuje až po obnovení. Ani počas pozastavenia nikde nič neupozorní.
{remaining} left. Nothing anywhere raises an alert until then, or until you end it early. || Noch {remaining}. Bis dahin — oder bis Sie es vorzeitig beenden — meldet sich nirgendwo etwas. || Il reste {remaining}. Rien nulle part ne déclenche d'alerte jusque-là, ou jusqu'à ce que vous y mettiez fin plus tôt. || Quedan {remaining}. Nada en ningún sitio genera una alerta hasta entonces, o hasta que lo termine antes. || Zostáva {remaining}. Dovtedy — alebo kým to predčasne neukončíte — nikde nič nevyvolá upozornenie.
Resume || Fortsetzen || Reprendre || Reanudar || Obnoviť
Pause || Pausieren || Mettre en pause || Pausar || Pozastaviť
End learning mode now? Detection returns to normal immediately. || Lernmodus jetzt beenden? Die Erkennung kehrt sofort zum Normalzustand zurück. || Mettre fin au mode apprentissage maintenant ? La détection revient immédiatement à la normale. || ¿Terminar el modo de aprendizaje ahora? La detección vuelve a la normalidad de inmediato. || Ukončiť učiaci režim teraz? Detekcia sa okamžite vráti do normálu.
End now || Jetzt beenden || Terminer maintenant || Terminar ahora || Ukončiť teraz
