# Risk factors (src/risk.rs) and the collector's status notes (src/engine.rs).
Telnet is open (unencrypted remote login) || Telnet ist offen (unverschlüsselte Fernanmeldung) || Telnet est ouvert (connexion à distance non chiffrée) || Telnet está abierto (inicio de sesión remoto sin cifrar) || Telnet je otvorený (nešifrované vzdialené prihlásenie)
FTP is open (unencrypted file transfer) || FTP ist offen (unverschlüsselte Dateiübertragung) || FTP est ouvert (transfert de fichiers non chiffré) || FTP está abierto (transferencia de archivos sin cifrar) || FTP je otvorený (nešifrovaný prenos súborov)
SMB file sharing is open || SMB-Dateifreigabe ist offen || Le partage de fichiers SMB est ouvert || El uso compartido de archivos SMB está abierto || Zdieľanie súborov SMB je otvorené
NetBIOS file sharing is open || NetBIOS-Dateifreigabe ist offen || Le partage de fichiers NetBIOS est ouvert || El uso compartido de archivos NetBIOS está abierto || Zdieľanie súborov NetBIOS je otvorené
MySQL is reachable on the network || MySQL ist im Netzwerk erreichbar || MySQL est joignable sur le réseau || MySQL es accesible en la red || MySQL je dostupný v sieti
MQTT (unauthenticated by default) is open || MQTT (standardmäßig ohne Authentifizierung) ist offen || MQTT (non authentifié par défaut) est ouvert || MQTT (sin autenticación por defecto) está abierto || MQTT (predvolene bez overenia) je otvorený
LPD print service is open || LPD-Druckdienst ist offen || Le service d'impression LPD est ouvert || El servicio de impresión LPD está abierto || Tlačová služba LPD je otvorená
Windows RPC endpoint mapper is open || Windows-RPC-Endpunkt-Mapper ist offen || le mappeur de points de terminaison RPC Windows est ouvert || el asignador de puntos finales RPC de Windows está abierto || Windows RPC endpoint mapper je otvorený
rpcbind is open || rpcbind ist offen || rpcbind est ouvert || rpcbind está abierto || rpcbind je otvorený
SNMP is open (a default or guessable community string can expose or change configuration) || SNMP ist offen (eine Standard- oder erratbare Community-Zeichenfolge kann die Konfiguration offenlegen oder ändern) || SNMP est ouvert (une chaîne de communauté par défaut ou devinable peut exposer ou modifier la configuration) || SNMP está abierto (una cadena de comunidad predeterminada o adivinable puede exponer o cambiar la configuración) || SNMP je otvorené (predvolený alebo uhádnuteľný community reťazec môže odhaliť alebo zmeniť konfiguráciu)
Microsoft SQL Server is reachable on the network || Microsoft SQL Server ist im Netzwerk erreichbar || Microsoft SQL Server est joignable sur le réseau || Microsoft SQL Server es accesible en la red || Microsoft SQL Server je dostupný v sieti
PostgreSQL is reachable on the network || PostgreSQL ist im Netzwerk erreichbar || PostgreSQL est joignable sur le réseau || PostgreSQL es accesible en la red || PostgreSQL je dostupný v sieti
Redis is reachable on the network (no password by default) || Redis ist im Netzwerk erreichbar (standardmäßig ohne Passwort) || Redis est joignable sur le réseau (aucun mot de passe par défaut) || Redis es accesible en la red (sin contraseña por defecto) || Redis je dostupný v sieti (predvolene bez hesla)
MongoDB is reachable on the network (no password by default) || MongoDB ist im Netzwerk erreichbar (standardmäßig ohne Passwort) || MongoDB est joignable sur le réseau (aucun mot de passe par défaut) || MongoDB es accesible en la red (sin contraseña por defecto) || MongoDB je dostupný v sieti (predvolene bez hesla)
Elasticsearch is reachable on the network (no password by default) || Elasticsearch ist im Netzwerk erreichbar (standardmäßig ohne Passwort) || Elasticsearch est joignable sur le réseau (aucun mot de passe par défaut) || Elasticsearch es accesible en la red (sin contraseña por defecto) || Elasticsearch je dostupný v sieti (predvolene bez hesla)
Memcached is open (also abused for DDoS amplification) || Memcached ist offen (wird auch für DDoS-Verstärkung missbraucht) || Memcached est ouvert (également utilisé pour l'amplification DDoS) || Memcached está abierto (también se abusa para amplificación DDoS) || Memcached je otvorený (zneužíva sa aj na zosilnenie DDoS útokov)
the Docker API is open without TLS (full control of the host) || Die Docker-API ist ohne TLS offen (volle Kontrolle über den Host) || l'API Docker est ouverte sans TLS (contrôle total de l'hôte) || la API de Docker está abierta sin TLS (control total del host) || Docker API je otvorené bez TLS (úplná kontrola nad hostiteľom)
WinRM is open (remote PowerShell management) || WinRM ist offen (Remote-PowerShell-Verwaltung) || WinRM est ouvert (gestion PowerShell à distance) || WinRM está abierto (gestión remota de PowerShell) || WinRM je otvorené (vzdialená správa cez PowerShell)
Webmin is open || Webmin ist offen || Webmin est ouvert || Webmin está abierto || Webmin je otvorený
device type could not be identified || Gerätetyp konnte nicht identifiziert werden || le type d'appareil n'a pas pu être identifié || no se pudo identificar el tipo de dispositivo || typ zariadenia sa nepodarilo zistiť
manufacturer not in the IEEE registry || Hersteller nicht im IEEE-Register || fabricant absent du registre IEEE || fabricante no está en el registro IEEE || výrobca nie je v registri IEEE
many open ports || viele offene Ports || nombreux ports ouverts || muchos puertos abiertos || veľa otvorených portov
{type} devices are commonly left unpatched || {type}-Geräte bleiben oft ungepatcht || les appareils de type {type} sont souvent laissés sans correctifs || los dispositivos de tipo {type} suelen quedar sin parchear || zariadenia typu {type} sa často nechávajú bez záplat
1 unacknowledged alert in the last two weeks || 1 unbestätigte Warnung in den letzten zwei Wochen || 1 alerte non acquittée au cours des deux dernières semaines || 1 alerta sin confirmar en las últimas dos semanas || 1 nepotvrdené upozornenie za posledné dva týždne
