# Compliance view (src/compliance.rs).
Devices reviewed by a person || Von einer Person geprüfte Geräte || Appareils examinés par une personne || Dispositivos revisados por una persona || Zariadenia skontrolované osobou
{a} of {b} devices in use || {a} von {b} Geräten in Gebrauch || {a} sur {b} appareils en service || {a} de {b} dispositivos en uso || {a} z {b} používaných zariadení
Devices with a known type || Geräte mit bekanntem Typ || Appareils de type connu || Dispositivos con tipo conocido || Zariadenia so známym typom
{a} of {b} || {a} von {b} || {a} sur {b} || {a} de {b} || {a} z {b}
Devices with an owner || Geräte mit Besitzer || Appareils avec un responsable || Dispositivos con responsable || Zariadenia s vlastníkom
Devices with a criticality rating || Geräte mit Kritikalitätsstufe || Appareils avec une criticité || Dispositivos con calificación de criticidad || Zariadenia s hodnotením kritickosti
Industrial devices with a Purdue level || Industriegeräte mit Purdue-Ebene || Appareils industriels avec un niveau Purdue || Dispositivos industriales con nivel Purdue || Priemyselné zariadenia s úrovňou Purdue
no industrial devices found || keine Industriegeräte gefunden || aucun appareil industriel trouvé || no se encontraron dispositivos industriales || nenašli sa žiadne priemyselné zariadenia
Detection rules switched on || Eingeschaltete Erkennungsregeln || Règles de détection activées || Reglas de detección activadas || Zapnuté detekčné pravidlá
Administrators with a passkey || Administratoren mit Passkey || Administrateurs avec une clé d'accès || Administradores con clave de acceso || Správcovia s passkey
Establish and maintain a detailed enterprise asset inventory || Ein detailliertes Inventar der Unternehmensgeräte einrichten und pflegen || Établir et tenir à jour un inventaire détaillé des actifs de l'entreprise || Establecer y mantener un inventario detallado de activos de la empresa || Vytvoriť a udržiavať podrobný inventár podnikových zariadení
Asset register: type, manufacturer, name, owner, location, serial number, criticality, with change history and CSV export. || Geräteregister: Typ, Hersteller, Name, Besitzer, Standort, Seriennummer, Kritikalität, mit Änderungsverlauf und CSV-Export. || Registre des appareils : type, fabricant, nom, responsable, emplacement, numéro de série, criticité, avec historique des modifications et export CSV. || Registro de dispositivos: tipo, fabricante, nombre, responsable, ubicación, número de serie, criticidad, con historial de cambios y exportación CSV. || Register zariadení: typ, výrobca, názov, vlastník, umiestnenie, sériové číslo, kritickosť, s históriou zmien a exportom CSV.
Reviewed {reviewed}%, type known {known}%, owner recorded {owner}% (average {average}%). || Geprüft {reviewed} %, Typ bekannt {known} %, Besitzer erfasst {owner} % (Durchschnitt {average} %). || Examinés {reviewed} %, type connu {known} %, responsable renseigné {owner} % (moyenne {average} %). || Revisados {reviewed} %, tipo conocido {known} %, responsable registrado {owner} % (media {average} %). || Skontrolované {reviewed} %, typ známy {known} %, vlastník zaznamenaný {owner} % (priemer {average} %).
Address unauthorized assets || Nicht autorisierte Geräte behandeln || Traiter les actifs non autorisés || Abordar los activos no autorizados || Riešiť neautorizované zariadenia
New-device alerts, the review queue ("needs review") and findings for lost or retired devices still on the network. || Warnungen für neue Geräte, die Prüfliste („Prüfung nötig“) und Befunde zu verlorenen oder ausgemusterten Geräten, die noch im Netzwerk sind. || Alertes de nouveaux appareils, file d'examen (« à examiner ») et constats sur les appareils perdus ou retirés encore présents sur le réseau. || Alertas de dispositivos nuevos, la cola de revisión («requiere revisión») y hallazgos sobre dispositivos perdidos o retirados que siguen en la red. || Upozornenia na nové zariadenia, front kontroly („treba skontrolovať“) a zistenia o stratených alebo vyradených zariadeniach, ktoré sú stále v sieti.
{percent}% of devices in use have been reviewed by a person. || {percent} % der genutzten Geräte wurden von einer Person geprüft. || {percent} % des appareils en service ont été examinés par une personne. || El {percent} % de los dispositivos en uso ha sido revisado por una persona. || {percent} % používaných zariadení skontrolovala osoba.
Use a passive asset discovery tool || Ein passives Werkzeug zur Geräteerkennung einsetzen || Utiliser un outil de découverte passive des actifs || Usar una herramienta de descubrimiento pasivo de activos || Používať nástroj pasívneho zisťovania zariadení
Passive discovery from ARP, DHCP, mDNS, SSDP, LLDP/CDP and industrial protocols. || Passive Erkennung aus ARP, DHCP, mDNS, SSDP, LLDP/CDP und Industrieprotokollen. || Découverte passive à partir d'ARP, DHCP, mDNS, SSDP, LLDP/CDP et des protocoles industriels. || Descubrimiento pasivo a partir de ARP, DHCP, mDNS, SSDP, LLDP/CDP y protocolos industriales. || Pasívne zisťovanie z ARP, DHCP, mDNS, SSDP, LLDP/CDP a priemyselných protokolov.
Passive listening is on. || Passives Mithören ist aktiv. || L'écoute passive est activée. || La escucha pasiva está activada. || Pasívne počúvanie je zapnuté.
The collector is not listening. || Der Collector hört nicht mit. || Le collecteur n'écoute pas. || El colector no está escuchando. || Kolektor nepočúva.
Centralize security event alerting || Sicherheitswarnungen zentralisieren || Centraliser l'alerte sur les événements de sécurité || Centralizar las alertas de eventos de seguridad || Centralizovať upozorňovanie na bezpečnostné udalosti
Scored alerts with advice, plus delivery to chat, e-mail, PagerDuty, a webhook, syslog/CEF or OpenObserve. || Bewertete Warnungen mit Handlungsempfehlung sowie Zustellung an Chat, E-Mail, PagerDuty, Webhook, Syslog/CEF oder OpenObserve. || Alertes notées avec conseils, plus envoi vers un chat, e-mail, PagerDuty, un webhook, syslog/CEF ou OpenObserve. || Alertas puntuadas con consejos, más envío a chat, correo, PagerDuty, un webhook, syslog/CEF u OpenObserve. || Hodnotené upozornenia s radami a doručovanie do chatu, e-mailu, PagerDuty, webhooku, syslog/CEF alebo OpenObserve.
{channels} notification channel(s) and {exports} export(s) configured; alerts are always visible in the console. || {channels} Benachrichtigungskanal/-kanäle und {exports} Export(e) eingerichtet; Warnungen sind immer in der Konsole sichtbar. || {channels} canal(aux) de notification et {exports} export(s) configuré(s) ; les alertes restent toujours visibles dans la console. || {channels} canal(es) de notificación y {exports} exportación(es) configurados; las alertas siempre son visibles en la consola. || Nastavené: {channels} kanál(ov) upozornení a {exports} export(ov); upozornenia sú vždy viditeľné v konzole.
Collect network traffic flow logs || Netzwerk-Flow-Protokolle sammeln || Collecter les journaux de flux réseau || Recopilar registros de flujo de tráfico de red || Zbierať záznamy o tokoch sieťovej prevádzky
Per-device flow accounting and baselines of destinations, ports, volume and hours. || Flow-Erfassung pro Gerät und Baselines für Ziele, Ports, Volumen und Uhrzeiten. || Comptabilité des flux par appareil et références de destinations, ports, volume et horaires. || Contabilidad de flujos por dispositivo y líneas base de destinos, puertos, volumen y horarios. || Evidencia tokov pre každé zariadenie a základné línie cieľov, portov, objemu a hodín.
Traffic analysis is on (it sees traffic that crosses the monitored interface). || Die Verkehrsanalyse ist aktiv (sie sieht Verkehr, der über die überwachte Schnittstelle läuft). || L'analyse du trafic est activée (elle voit le trafic qui traverse l'interface surveillée). || El análisis de tráfico está activado (ve el tráfico que cruza la interfaz monitorizada). || Analýza prevádzky je zapnutá (vidí prevádzku, ktorá prechádza monitorovaným rozhraním).
Start with --flows (or --profile ot) and place the collector where the traffic is. || Mit --flows (oder --profile ot) starten und den Collector dort platzieren, wo der Verkehr ist. || Démarrez avec --flows (ou --profile ot) et placez le collecteur là où passe le trafic. || Inicie con --flows (o --profile ot) y coloque el colector donde esté el tráfico. || Spustite s --flows (alebo --profile ot) a umiestnite kolektor tam, kde je prevádzka.
Require MFA for administrative access || Multi-Faktor-Authentifizierung für administrativen Zugriff verlangen || Exiger l'authentification multifacteur pour l'accès administrateur || Exigir MFA para el acceso administrativo || Vyžadovať MFA pre správcovský prístup
Passkey sign-in (a verified fingerprint, face, PIN or security key). || Passkey-Anmeldung (verifizierter Fingerabdruck, Gesicht, PIN oder Sicherheitsschlüssel). || Connexion par clé d'accès (empreinte, visage, PIN ou clé de sécurité vérifiés). || Inicio de sesión con clave de acceso (huella, rostro, PIN o llave de seguridad verificados). || Prihlásenie cez passkey (overený odtlačok prsta, tvár, PIN alebo bezpečnostný kľúč).
{a} of {b} administrator(s) have a passkey. Passwords still work; passkey-only sign-in is not enforced. || {a} von {b} Administrator(en) haben einen Passkey. Passwörter funktionieren weiterhin; reine Passkey-Anmeldung wird nicht erzwungen. || {a} administrateur(s) sur {b} ont une clé d'accès. Les mots de passe fonctionnent toujours ; la connexion par clé d'accès seule n'est pas imposée. || {a} de {b} administrador(es) tienen una clave de acceso. Las contraseñas siguen funcionando; no se exige el inicio de sesión solo con clave de acceso. || {a} z {b} správcov má passkey. Heslá stále fungujú; prihlásenie iba cez passkey sa nevynucuje.
Inventories of hardware managed by the organization are maintained || Inventare der von der Organisation verwalteten Hardware werden gepflegt || Les inventaires du matériel géré par l'organisation sont tenus à jour || Se mantienen inventarios del hardware gestionado por la organización || Inventáre hardvéru spravovaného organizáciou sa udržiavajú
As CIS 1.1: the asset register with lifecycle (warranty, status) tracking. || Wie CIS 1.1: das Geräteregister mit Lebenszyklusverfolgung (Garantie, Status). || Comme CIS 1.1 : le registre des appareils avec suivi du cycle de vie (garantie, statut). || Como CIS 1.1: el registro de dispositivos con seguimiento del ciclo de vida (garantía, estado). || Ako CIS 1.1: register zariadení so sledovaním životného cyklu (záruka, stav).
Inventory completeness {percent}%. || Vollständigkeit des Inventars {percent} %. || Complétude de l'inventaire : {percent} %. || Completitud del inventario: {percent} %. || Úplnosť inventára {percent} %.
Networks and network services are monitored to find potentially adverse events || Netzwerke und Netzwerkdienste werden überwacht, um potenziell nachteilige Ereignisse zu finden || Les réseaux et services réseau sont surveillés pour détecter les événements potentiellement défavorables || Se monitorizan las redes y los servicios de red para encontrar eventos potencialmente adversos || Siete a sieťové služby sa monitorujú na zistenie potenciálne nepriaznivých udalostí
Continuous passive and (optionally) active monitoring with learned baselines and explainable rules. || Kontinuierliche passive und (optional) aktive Überwachung mit gelernten Baselines und nachvollziehbaren Regeln. || Surveillance continue passive et (en option) active avec références apprises et règles explicables. || Monitorización continua pasiva y (opcionalmente) activa con líneas base aprendidas y reglas explicables. || Nepretržité pasívne a (voliteľne) aktívne monitorovanie s naučenými základnými líniami a vysvetliteľnými pravidlami.
Still in the learning period: new devices and destinations are learned, not alerted on. || Noch in der Lernphase: Neue Geräte und Ziele werden gelernt, nicht gemeldet. || Encore en période d'apprentissage : les nouveaux appareils et destinations sont appris, sans alerte. || Aún en el periodo de aprendizaje: los dispositivos y destinos nuevos se aprenden, sin generar alertas. || Stále obdobie učenia: nové zariadenia a ciele sa učia, nehlásia sa.
{a} of {b} detection rules are on. || {a} von {b} Erkennungsregeln sind eingeschaltet. || {a} règles de détection sur {b} sont activées. || {a} de {b} reglas de detección están activadas. || {a} z {b} detekčných pravidiel je zapnutých.
Potentially adverse events are analyzed to better understand associated activities || Potenziell nachteilige Ereignisse werden analysiert, um zugehörige Aktivitäten besser zu verstehen || Les événements potentiellement défavorables sont analysés pour mieux comprendre les activités associées || Los eventos potencialmente adversos se analizan para comprender mejor las actividades asociadas || Potenciálne nepriaznivé udalosti sa analyzujú, aby sa lepšie pochopili súvisiace aktivity
Each alert lists the factors behind its score and what to do about it. || Jede Warnung nennt die Faktoren hinter ihrem Wert und was zu tun ist. || Chaque alerte indique les facteurs derrière son score et la marche à suivre. || Cada alerta enumera los factores de su puntuación y qué hacer al respecto. || Každé upozornenie uvádza faktory jeho skóre a čo s ním robiť.
{n} detection rules are on. || {n} Erkennungsregeln sind eingeschaltet. || {n} règles de détection sont activées. || {n} reglas de detección están activadas. || Zapnutých je {n} detekčných pravidiel.
Network segmentation || Netzwerksegmentierung || Segmentation du réseau || Segmentación de red || Segmentácia siete
Zone and Purdue level per device, and alerts for communication that skips a level or crosses the network boundary. || Zone und Purdue-Ebene pro Gerät sowie Warnungen bei Kommunikation, die eine Ebene überspringt oder die Netzwerkgrenze überschreitet. || Zone et niveau Purdue par appareil, et alertes pour la communication qui saute un niveau ou franchit la frontière du réseau. || Zona y nivel Purdue por dispositivo, y alertas para la comunicación que salta un nivel o cruza el límite de la red. || Zóna a úroveň Purdue pre každé zariadenie a upozornenia na komunikáciu, ktorá preskočí úroveň alebo prekročí hranicu siete.
No industrial devices were found, so there is nothing to segment yet. || Es wurden keine Industriegeräte gefunden, daher gibt es noch nichts zu segmentieren. || Aucun appareil industriel trouvé : il n'y a donc encore rien à segmenter. || No se encontraron dispositivos industriales, así que aún no hay nada que segmentar. || Nenašli sa žiadne priemyselné zariadenia, takže zatiaľ nie je čo segmentovať.
{a} of {b} industrial devices have a Purdue level entered; the segmentation rules can only judge those. || Bei {a} von {b} Industriegeräten ist eine Purdue-Ebene eingetragen; die Segmentierungsregeln können nur diese beurteilen. || {a} appareils industriels sur {b} ont un niveau Purdue renseigné ; les règles de segmentation ne peuvent juger que ceux-ci. || {a} de {b} dispositivos industriales tienen un nivel Purdue introducido; las reglas de segmentación solo pueden juzgar esos. || {a} z {b} priemyselných zariadení má zadanú úroveň Purdue; pravidlá segmentácie môžu posúdiť iba tie.
Continuous monitoring || Kontinuierliche Überwachung || Surveillance continue || Monitorización continua || Nepretržité monitorovanie
Passive industrial protocol monitoring (Modbus, S7, EtherNet/IP, DNP3, BACnet, OPC UA, IEC 104) with new-path and control-command detection. || Passive Überwachung von Industrieprotokollen (Modbus, S7, EtherNet/IP, DNP3, BACnet, OPC UA, IEC 104) mit Erkennung neuer Wege und Steuerbefehle. || Surveillance passive des protocoles industriels (Modbus, S7, EtherNet/IP, DNP3, BACnet, OPC UA, IEC 104) avec détection des nouveaux chemins et des commandes de contrôle. || Monitorización pasiva de protocolos industriales (Modbus, S7, EtherNet/IP, DNP3, BACnet, OPC UA, IEC 104) con detección de rutas nuevas y comandos de control. || Pasívne monitorovanie priemyselných protokolov (Modbus, S7, EtherNet/IP, DNP3, BACnet, OPC UA, IEC 104) s detekciou nových ciest a riadiacich príkazov.
Traffic analysis is on. || Die Verkehrsanalyse ist aktiv. || L'analyse du trafic est activée. || El análisis de tráfico está activado. || Analýza prevádzky je zapnutá.
Industrial monitoring needs --profile ot (or --flows) on a mirror port. || Industrie-Überwachung braucht --profile ot (oder --flows) an einem Mirror-Port. || La surveillance industrielle nécessite --profile ot (ou --flows) sur un port miroir. || La monitorización industrial necesita --profile ot (o --flows) en un puerto espejo. || Priemyselné monitorovanie vyžaduje --profile ot (alebo --flows) na zrkadlovom porte.
Auditable events || Nachvollziehbare Ereignisse || Événements auditables || Eventos auditables || Auditovateľné udalosti
An audit log of every sign-in, change, user, token, channel and rule edit, exportable to a SIEM. || Ein Audit-Protokoll jeder Anmeldung, Änderung, jedes Benutzers, Tokens, Kanals und jeder Regeländerung, exportierbar in ein SIEM. || Un journal d'audit de chaque connexion, modification, utilisateur, jeton, canal et changement de règle, exportable vers un SIEM. || Un registro de auditoría de cada inicio de sesión, cambio, usuario, token, canal y edición de reglas, exportable a un SIEM. || Auditný záznam každého prihlásenia, zmeny, používateľa, tokenu, kanála a úpravy pravidla, exportovateľný do SIEM.
The audit log is always on. || Das Audit-Protokoll ist immer aktiv. || Le journal d'audit est toujours actif. || El registro de auditoría siempre está activo. || Auditný záznam je vždy zapnutý.
Utilize an active discovery tool || Ein aktives Erkennungswerkzeug einsetzen || Utiliser un outil de découverte active || Usar una herramienta de descubrimiento activo || Používať nástroj aktívneho zisťovania
Polite ARP sweep, ping and light port scan (never used on industrial devices). || Schonender ARP-Scan, Ping und leichter Portscan (nie bei Industriegeräten). || Balayage ARP poli, ping et scan de ports léger (jamais utilisés sur les appareils industriels). || Barrido ARP cortés, ping y escaneo de puertos ligero (nunca en dispositivos industriales). || Šetrný ARP sken, ping a ľahký sken portov (nikdy sa nepoužíva na priemyselných zariadeniach).
Active discovery is on. || Aktive Erkennung ist eingeschaltet. || La découverte active est activée. || El descubrimiento activo está activado. || Aktívne zisťovanie je zapnuté.
Evidence to support your own assessment, not a certification. Whether a control is satisfied is for you and your auditor to decide. || Nachweise zur Unterstützung Ihrer eigenen Bewertung, keine Zertifizierung. Ob eine Maßnahme erfüllt ist, entscheiden Sie und Ihr Prüfer. || Éléments pour étayer votre propre évaluation, pas une certification. Il vous appartient, ainsi qu'à votre auditeur, de décider si un contrôle est satisfait. || Evidencia para respaldar su propia evaluación, no una certificación. Que un control se cumpla lo deciden usted y su auditor. || Podklady na podporu vášho vlastného posúdenia, nie certifikácia. O tom, či je kontrola splnená, rozhodujete vy a váš audítor.
