# Findings (src/findings.rs).
Telnet is open || Telnet ist offen || Telnet est ouvert || Telnet está abierto || Telnet je otvorený
Telnet sends the password and everything typed in clear text; anyone on the network path can read it. || Telnet sendet das Passwort und alles Getippte im Klartext; jeder auf dem Netzwerkpfad kann es mitlesen. || Telnet envoie le mot de passe et tout ce qui est saisi en clair ; n'importe qui sur le chemin réseau peut le lire. || Telnet envía la contraseña y todo lo que se escribe en texto claro; cualquiera en la ruta de red puede leerlo. || Telnet posiela heslo a všetko napísané v čistom texte; môže to prečítať ktokoľvek na sieťovej ceste.
Turn Telnet off and use SSH. If the device cannot do SSH, limit access to a management VLAN or replace the device. || Telnet abschalten und SSH nutzen. Kann das Gerät kein SSH, den Zugriff auf ein Management-VLAN beschränken oder das Gerät ersetzen. || Désactivez Telnet et utilisez SSH. Si l'appareil ne gère pas SSH, limitez l'accès à un VLAN d'administration ou remplacez l'appareil. || Desactive Telnet y use SSH. Si el dispositivo no admite SSH, limite el acceso a una VLAN de administración o sustituya el dispositivo. || Vypnite Telnet a používajte SSH. Ak zariadenie SSH nepodporuje, obmedzte prístup na správcovskú VLAN alebo zariadenie vymeňte.
FTP is open || FTP ist offen || FTP est ouvert || FTP está abierto || FTP je otvorený
FTP sends passwords and files unencrypted. || FTP sendet Passwörter und Dateien unverschlüsselt. || FTP envoie les mots de passe et les fichiers sans chiffrement. || FTP envía contraseñas y archivos sin cifrar. || FTP posiela heslá a súbory nešifrovane.
Switch to SFTP or FTPS, or disable the service if nobody needs it. || Auf SFTP oder FTPS umstellen oder den Dienst abschalten, wenn ihn niemand braucht. || Passez à SFTP ou FTPS, ou désactivez le service si personne n'en a besoin. || Cambie a SFTP o FTPS, o desactive el servicio si nadie lo necesita. || Prejdite na SFTP alebo FTPS, alebo službu vypnite, ak ju nikto nepotrebuje.
Remote Desktop (RDP) is open || Remotedesktop (RDP) ist offen || Bureau à distance (RDP) est ouvert || Escritorio remoto (RDP) está abierto || Vzdialená plocha (RDP) je otvorená
RDP is a favourite target for password guessing and has had serious remote-code-execution flaws. || RDP ist ein beliebtes Ziel für Passwort-Raten und hatte schwere Lücken zur Remote-Codeausführung. || RDP est une cible favorite pour la devinette de mots de passe et a connu de graves failles d'exécution de code à distance. || RDP es un objetivo favorito para adivinar contraseñas y ha tenido graves fallos de ejecución remota de código. || RDP je obľúbeným cieľom hádania hesiel a mal vážne chyby vzdialeného spustenia kódu.
Allow RDP only through a VPN or gateway, require Network Level Authentication and multi-factor sign-in, and keep the system patched. Disable it where it is not needed. || RDP nur über VPN oder Gateway zulassen, Netzwerkauthentifizierung (NLA) und Multi-Faktor-Anmeldung verlangen und das System aktuell halten. Wo nicht benötigt, abschalten. || N'autorisez RDP que via un VPN ou une passerelle, exigez l'authentification au niveau du réseau (NLA) et la connexion multifacteur, et gardez le système à jour. Désactivez-le si inutile. || Permita RDP solo a través de VPN o puerta de enlace, exija autenticación a nivel de red (NLA) e inicio de sesión multifactor, y mantenga el sistema actualizado. Desactívelo donde no haga falta. || Povoľte RDP iba cez VPN alebo bránu, vyžadujte overenie na úrovni siete (NLA) a viacfaktorové prihlásenie a systém udržiavajte aktualizovaný. Kde nie je potrebné, vypnite ho.
VNC remote screen is open || VNC-Fernbildschirm ist offen || L'écran distant VNC est ouvert || La pantalla remota VNC está abierta || Vzdialená obrazovka VNC je otvorená
VNC often has a weak or no password and does not encrypt by default. || VNC hat oft ein schwaches oder gar kein Passwort und verschlüsselt standardmäßig nicht. || VNC a souvent un mot de passe faible ou absent et ne chiffre pas par défaut. || VNC suele tener una contraseña débil o ninguna y no cifra por defecto. || VNC má často slabé alebo žiadne heslo a predvolene nešifruje.
Disable it, or tunnel it through SSH or a VPN and set a strong password. || Abschalten oder durch SSH bzw. VPN tunneln und ein starkes Passwort setzen. || Désactivez-le, ou faites-le passer par un tunnel SSH ou VPN et définissez un mot de passe fort. || Desactívelo, o túnelelo por SSH o VPN y defina una contraseña fuerte. || Vypnite ho, alebo ho tunelujte cez SSH alebo VPN a nastavte silné heslo.
File sharing (SMB/NetBIOS) is open on a device that is not a computer or file server || Dateifreigabe (SMB/NetBIOS) ist auf einem Gerät offen, das weder Computer noch Dateiserver ist || Le partage de fichiers (SMB/NetBIOS) est ouvert sur un appareil qui n'est ni un ordinateur ni un serveur de fichiers || El uso compartido de archivos (SMB/NetBIOS) está abierto en un dispositivo que no es un ordenador ni un servidor de archivos || Zdieľanie súborov (SMB/NetBIOS) je otvorené na zariadení, ktoré nie je počítač ani súborový server
File-sharing services on printers, cameras or embedded devices are rarely needed and are often outdated. || Dateifreigabedienste auf Druckern, Kameras oder eingebetteten Geräten werden selten gebraucht und sind oft veraltet. || Les services de partage de fichiers sur les imprimantes, caméras ou appareils embarqués sont rarement nécessaires et souvent obsolètes. || Los servicios de uso compartido de archivos en impresoras, cámaras o dispositivos embebidos rara vez son necesarios y suelen estar desactualizados. || Služby zdieľania súborov na tlačiarňach, kamerách alebo vstavaných zariadeniach sú zriedka potrebné a často zastarané.
Turn off file sharing on the device unless it is used, and update its firmware. || Dateifreigabe am Gerät abschalten, sofern sie nicht genutzt wird, und die Firmware aktualisieren. || Désactivez le partage de fichiers sur l'appareil s'il n'est pas utilisé, et mettez à jour son micrologiciel. || Desactive el uso compartido de archivos en el dispositivo si no se usa y actualice su firmware. || Ak sa zdieľanie súborov nepoužíva, vypnite ho na zariadení a aktualizujte jeho firmvér.
A MySQL database is reachable on the network || Eine MySQL-Datenbank ist im Netzwerk erreichbar || Une base de données MySQL est joignable sur le réseau || Una base de datos MySQL es accesible en la red || Databáza MySQL je dostupná v sieti
Databases should be reachable only from the applications that use them. || Datenbanken sollten nur von den Anwendungen erreichbar sein, die sie nutzen. || Les bases de données ne devraient être joignables que depuis les applications qui les utilisent. || Las bases de datos solo deberían ser accesibles desde las aplicaciones que las usan. || Databázy by mali byť dostupné iba z aplikácií, ktoré ich používajú.
Bind the database to localhost or a private interface and firewall the port to the application servers. || Die Datenbank an localhost oder eine private Schnittstelle binden und den Port per Firewall auf die Anwendungsserver beschränken. || Liez la base de données à localhost ou à une interface privée et filtrez le port pour n'autoriser que les serveurs d'application. || Enlace la base de datos a localhost o a una interfaz privada y restrinja el puerto con el cortafuegos a los servidores de aplicaciones. || Naviažte databázu na localhost alebo súkromné rozhranie a port cez firewall obmedzte na aplikačné servery.
An MQTT broker is open || Ein MQTT-Broker ist offen || Un courtier MQTT est ouvert || Un broker MQTT está abierto || MQTT broker je otvorený
MQTT brokers accept anonymous connections unless configured otherwise, exposing sensor data and control topics. || MQTT-Broker akzeptieren anonyme Verbindungen, sofern nicht anders konfiguriert, und legen Sensordaten und Steuerthemen offen. || Les courtiers MQTT acceptent les connexions anonymes sauf configuration contraire, exposant les données de capteurs et les sujets de contrôle. || Los brokers MQTT aceptan conexiones anónimas salvo que se configure lo contrario, exponiendo datos de sensores y temas de control. || MQTT brokery prijímajú anonymné spojenia, pokiaľ nie je nastavené inak, a vystavujú údaje senzorov a riadiace témy.
Require authentication (and TLS) on the broker, and restrict the port to the devices that use it. || Authentifizierung (und TLS) am Broker verlangen und den Port auf die nutzenden Geräte beschränken. || Exigez l'authentification (et TLS) sur le courtier et limitez le port aux appareils qui l'utilisent. || Exija autenticación (y TLS) en el broker y restrinja el puerto a los dispositivos que lo usan. || Vyžadujte na brokeri overenie (a TLS) a port obmedzte na zariadenia, ktoré ho používajú.
MikroTik Winbox management is open || MikroTik-Winbox-Verwaltung ist offen || L'administration MikroTik Winbox est ouverte || La administración MikroTik Winbox está abierta || Správa MikroTik Winbox je otvorená
Management interfaces on the LAN side are reachable by every device, including compromised ones. || Verwaltungsschnittstellen auf der LAN-Seite sind für jedes Gerät erreichbar, auch für kompromittierte. || Les interfaces d'administration côté LAN sont accessibles à tous les appareils, y compris ceux qui sont compromis. || Las interfaces de administración del lado LAN son accesibles para todos los dispositivos, incluidos los comprometidos. || Správcovské rozhrania na strane LAN sú dostupné každému zariadeniu vrátane napadnutých.
