# Settings and the "Explain with AI" button on alerts/findings (bring-your-own-key).
Explain with AI || Mit KI erklären || Expliquer avec l'IA || Explicar con IA || Vysvetliť pomocou AI
Asking… || Frage läuft … || Question en cours… || Preguntando… || Pýtam sa…
{provider} says: || {provider} sagt: || {provider} dit : || {provider} dice: || {provider} hovorí:
Optional, bring-your-own-key: adds an "Explain with AI" button to alerts and findings, one plain-language summary per click — never automatic, never sent anywhere unless someone clicks it. Each call is billed to your own account with the provider you choose; DENIS runs none of this itself. Only what the console already shows for that one alert or finding is sent — nothing else about your network. || Optional, mit eigenem API-Schlüssel: fügt Warnungen und Befunden eine Schaltfläche „Mit KI erklären" hinzu, eine allgemeinverständliche Zusammenfassung pro Klick — nie automatisch, nie gesendet, außer jemand klickt darauf. Jeder Aufruf wird Ihrem eigenen Konto beim gewählten Anbieter berechnet; DENIS betreibt davon nichts selbst. Es wird nur gesendet, was die Konsole für diese eine Warnung oder diesen Befund ohnehin schon zeigt — nichts sonst über Ihr Netzwerk. || Optionnel, avec votre propre clé : ajoute un bouton « Expliquer avec l'IA » aux alertes et constats, un résumé en langage clair par clic — jamais automatique, jamais envoyé sauf si quelqu'un clique dessus. Chaque appel est facturé sur votre propre compte chez le fournisseur choisi ; DENIS n'exploite rien de cela lui-même. Seul ce que la console montre déjà pour cette alerte ou ce constat est envoyé — rien d'autre sur votre réseau. || Opcional, con su propia clave: añade un botón "Explicar con IA" a alertas y hallazgos, un resumen en lenguaje sencillo por clic — nunca automático, nunca enviado salvo que alguien haga clic. Cada llamada se factura a su propia cuenta con el proveedor elegido; DENIS no ejecuta nada de esto por sí mismo. Solo se envía lo que la consola ya muestra para esa alerta o hallazgo — nada más sobre su red. || Voliteľné, s vlastným kľúčom: pridá k alertom a zisteniam tlačidlo "Vysvetliť pomocou AI", jedno zhrnutie v jednoduchom jazyku na klik — nikdy automaticky, nikdy neodoslané, kým na to niekto neklikne. Každé volanie sa účtuje na váš vlastný účet u vybraného poskytovateľa; DENIS z toho sám nič nespúšťa. Odosiela sa len to, čo konzola už aj tak zobrazuje pre daný alert alebo zistenie — nič iné o vašej sieti.
Claude (Anthropic) || Claude (Anthropic) || Claude (Anthropic) || Claude (Anthropic) || Claude (Anthropic)
ChatGPT (OpenAI) || ChatGPT (OpenAI) || ChatGPT (OpenAI) || ChatGPT (OpenAI) || ChatGPT (OpenAI)
Gemini (Google) || Gemini (Google) || Gemini (Google) || Gemini (Google) || Gemini (Google)
Grok (xAI) || Grok (xAI) || Grok (xAI) || Grok (xAI) || Grok (xAI)
Default provider || Standardanbieter || Fournisseur par défaut || Proveedor predeterminado || Predvolený poskytovateľ
(none configured) || (keiner eingerichtet) || (aucun configuré) || (ninguno configurado) || (žiadny nastavený)
Claude || Claude || Claude || Claude || Claude
ChatGPT || ChatGPT || ChatGPT || ChatGPT || ChatGPT
Gemini || Gemini || Gemini || Gemini || Gemini
Grok || Grok || Grok || Grok || Grok
