# Jira and ServiceNow ticketing channels (2.6.0-2.8.0).
Files one ServiceNow incident per alert. Paste your instance address, a username and password with the incident table's write role. DENIS never updates or closes the incident afterwards — that happens in ServiceNow like any other ticket. || Legt pro Warnung einen ServiceNow-Vorfall an. Fügen Sie Ihre Instanz-Adresse, einen Benutzernamen und ein Passwort mit Schreibrolle für die Incident-Tabelle ein. DENIS aktualisiert oder schließt den Vorfall danach nie — das geschieht in ServiceNow wie bei jedem anderen Ticket. || Ouvre un incident ServiceNow par alerte. Indiquez l'adresse de votre instance, un nom d'utilisateur et un mot de passe disposant du rôle d'écriture sur la table des incidents. DENIS ne met jamais à jour ni ne ferme l'incident ensuite — cela se fait dans ServiceNow comme pour tout autre ticket. || Crea un incidente de ServiceNow por cada alerta. Indique la dirección de su instancia, un usuario y una contraseña con el rol de escritura de la tabla de incidentes. DENIS nunca actualiza ni cierra el incidente después — eso ocurre en ServiceNow como con cualquier otro ticket. || Založí jeden ServiceNow incident na každý alert. Vlož adresu svojej inštancie, používateľské meno a heslo s právom zápisu do tabuľky incidentov. DENIS incident už nikdy neaktualizuje ani nezatvára — to prebieha v ServiceNow ako pri každom inom tikete.
Instance address || Adresse der Instanz || Adresse de l'instance || Dirección de la instancia || Adresa inštancie
Files one Jira issue per alert. Paste your Jira site address, the account e-mail, an API token (id.atlassian.com/manage-profile/security/api-tokens) and the project key to file under. DENIS never updates or closes the issue afterwards — that happens in Jira like any other ticket. || Legt pro Warnung ein Jira-Ticket an. Fügen Sie Ihre Jira-Site-Adresse, die Konto-E-Mail, ein API-Token (id.atlassian.com/manage-profile/security/api-tokens) und den Projektschlüssel ein, unter dem es angelegt wird. DENIS aktualisiert oder schließt das Ticket danach nie — das geschieht in Jira wie bei jedem anderen Ticket. || Ouvre un ticket Jira par alerte. Indiquez l'adresse de votre site Jira, l'e-mail du compte, un jeton d'API (id.atlassian.com/manage-profile/security/api-tokens) et la clé du projet sous laquelle le créer. DENIS ne met jamais à jour ni ne ferme le ticket ensuite — cela se fait dans Jira comme pour tout autre ticket. || Crea un ticket de Jira por cada alerta. Indique la dirección de su sitio Jira, el correo de la cuenta, un token de API (id.atlassian.com/manage-profile/security/api-tokens) y la clave del proyecto bajo la que crearlo. DENIS nunca actualiza ni cierra el ticket después — eso ocurre en Jira como con cualquier otro ticket. || Založí jeden Jira tiket na každý alert. Vlož adresu svojho Jira sídla, e-mail účtu, API token (id.atlassian.com/manage-profile/security/api-tokens) a kľúč projektu, pod ktorý sa má zakladať. DENIS tiket už nikdy neaktualizuje ani nezatvára — to prebieha v Jire ako pri každom inom tikete.
Jira site address || Jira-Site-Adresse || Adresse du site Jira || Dirección del sitio Jira || Adresa Jira sídla
API token || API-Token || Jeton d'API || Token de API || API token
Account e-mail || Konto-E-Mail || E-mail du compte || Correo de la cuenta || E-mail účtu
Jira (a real issue per alert) || Jira (echtes Ticket pro Warnung) || Jira (un vrai ticket par alerte) || Jira (un ticket real por alerta) || Jira (skutočný tiket na každý alert)
ServiceNow (a real incident per alert) || ServiceNow (echter Vorfall pro Warnung) || ServiceNow (un vrai incident par alerte) || ServiceNow (un incidente real por alerta) || ServiceNow (skutočný incident na každý alert)
Project key || Projektschlüssel || Clé du projet || Clave del proyecto || Kľúč projektu
OPS || OPS || OPS || OPS || OPS
